,jobTitle,meanPay,Range,company
43,Product Sales Specialist,"$104,137/yr",Range: $72K - $165K,cisco
44,Hardware Engineer IV,"$142,485/yr",Range: $117K - $159K,cisco
45,Customer Support Engineer III,"$98,499/yr",Range: $80K - $120K,cisco
46,Engineering Manager,"$159,317/yr",Range: $124K - $192K,cisco
47,Systems Engineer II,"$113,882/yr",Range: $94K - $165K,cisco
48,Product Marketing Manager,"$140,636/yr",Range: $102K - $174K,cisco
49,Principal Engineer,"$199,194/yr",Range: $142K - $252K,cisco
50,Senior Engineering Manager,"$183,981/yr",Range: $147K - $217K,cisco
51,Systems Administrator,"$128,394/yr",Range: $74K - $154K,cisco
52,"Manager, Software Development","$161,126/yr",Range: $140K - $200K,cisco
53,Tech Lead,"$154,175/yr",Range: $19K - $186K,cisco
54,Senior Director,"$238,890/yr",Range: $206K - $276K,cisco
55,Senior Marketing Manager,"$164,119/yr",Range: $132K - $196K,cisco
56,IT Manager,"$148,103/yr",Range: $118K - $176K,cisco
57,Operations Manager,"$127,363/yr",Range: $85K - $175K,cisco
58,Senior Software Development Engineer,"$138,479/yr",Range: $116K - $175K,cisco
59,Hardware Engineer III,"$110,867/yr",Range: $96K - $128K,cisco
61,Technical Leader I Software Engineer,"$158,045/yr",Range: $134K - $175K,cisco
62,Senior Product Marketing Manager,"$160,527/yr",Range: $132K - $191K,cisco
63,Enterprise Account Manager,"$102,442/yr",Range: $74K - $133K,cisco
64,Senior Software QA Engineer,"$132,743/yr",Range: $105K - $156K,cisco
65,IT Architect,"$146,238/yr",Range: $114K - $173K,cisco
66,Software Engineering Manager,"$152,373/yr",Range: $132K - $193K,cisco
67,Product Engineer,"$128,743/yr",Range: $92K - $161K,cisco
69,Supply Chain Program Manager,"$106,371/yr",Range: $73K - $147K,cisco
70,Business Finance Manager,"$123,759/yr",Range: $110K - $141K,cisco
71,Engineer,"$116,396/yr",Range: $75K - $171K,cisco
72,Software Development Manager,"$159,922/yr",Range: $134K - $190K,cisco
73,Regional Sales Manager,"$151,576/yr",Range: $119K - $274K,cisco
74,Software QA Engineer IV,"$125,712/yr",Range: $108K - $171K,cisco
75,Human Resources Manager,"$138,990/yr",Range: $109K - $205K,cisco
76,"Senior Manager, Product Management","$173,678/yr",Range: $140K - $193K,cisco
77,Software Technical Lead,"$154,063/yr",Range: $125K - $171K,cisco
78,CA,"$126,943/yr",Range: $76K - $202K,cisco
79,Customer Support Engineer II,"$76,816/yr",Range: $68K - $108K,cisco
81,IT Program Manager,"$136,974/yr",Range: $104K - $184K,cisco
82,Manufacturing Engineer,"$117,429/yr",Range: $71K - $185K,cisco
83,Program Manager III,"$127,959/yr",Range: $100K - $154K,cisco
84,Account Manager III,"$100,199/yr",Range: $77K - $124K,cisco
85,Program Manager IV,"$139,785/yr",Range: $114K - $176K,cisco
87,Manager Software Development,"$169,140/yr",Range: $135K - $201K,cisco
88,Finance Manager,"$133,268/yr",Range: $111K - $154K,cisco
89,Technical Lead I,"$150,762/yr",Range: $129K - $170K,cisco
90,Senior Financial Analyst,"$96,904/yr",Range: $79K - $123K,cisco
91,Senior Project Manager,"$133,933/yr",Range: $104K - $185K,cisco
92,Sales Business Development Manager,"$148,561/yr",Range: $91K - $199K,cisco
93,Finance Business Analyst,"$86,407/yr",Range: $73K - $124K,cisco
94,Software Engineer QA III,"$112,323/yr",Range: $95K - $127K,cisco
95,Marketing Specialist,"$70,157/yr",Range: $59K - $86K,cisco
96,Virtual Sales Account Manager,"$60,318/yr",Range: $57K - $69K,cisco
97,Associate Systems Engineer,"$71,315/yr",Range: $65K - $76K,cisco
98,Security Manager,"$97,138/yr",Range: $53K - $130K,cisco
99,Business Systems Analyst,"$89,036/yr",Range: $74K - $125K,cisco
100,Senior Hardware Engineer,"$128,027/yr",Range: $107K - $162K,cisco
101,Hardware Engineer II,"$100,599/yr",Range: $82K - $114K,cisco
102,Business Operations Analyst,"$85,804/yr",Range: $58K - $122K,cisco
103,Client Services Manager,"$98,762/yr",Range: $77K - $165K,cisco
104,Software Engineering III,"$114,761/yr",Range: $101K - $129K,cisco
105,Advanced Services Manager,"$152,111/yr",Range: $108K - $204K,cisco
106,Systems Engineer IV,"$150,936/yr",Range: $123K - $168K,cisco
107,Senior Network Consulting Engineer,"$125,701/yr",Range: $91K - $173K,cisco
108,Mechanical Engineer,"$108,747/yr",Range: $64K - $158K,cisco
110,Senior Technical Writer,"$118,791/yr",Range: $94K - $135K,cisco
111,Network Consulting Engineer III,"$100,778/yr",Range: $82K - $117K,cisco
112,Hardware Technical Lead,"$162,130/yr",Range: $140K - $189K,cisco
113,Technical Leader Engineering,"$156,238/yr",Range: $135K - $176K,cisco
114,Inside Sales Manager,"$87,516/yr",Range: $81K - $100K,cisco
115,Senior Technical Lead,"$174,683/yr",Range: $144K - $206K,cisco
116,Commodity Manager,"$127,968/yr",Range: $86K - $165K,cisco
117,Software Engineer-II,"$113,682/yr",Range: $89K - $127K,cisco
118,Technical Solutions Architect,"$170,905/yr",Range: $141K - $193K,cisco
119,Customer Support Engineer IV,"$121,097/yr",Range: $105K - $147K,cisco
120,Director of Engineering,"$220,000/yr",Range: $198K - $251K,cisco
121,Senior Network Engineer,"$122,359/yr",Range: $95K - $160K,cisco
122,Database Administrator,"$144,512/yr",Range: $100K - $164K,cisco
123,Account Manager II,"$78,495/yr",Range: $61K - $87K,cisco
124,Test Development Engineer,"$107,877/yr",Range: $87K - $139K,cisco
125,User-centered Design Engineer,"$130,893/yr",Range: $105K - $172K,cisco
126,Network Consulting Engineer IV,"$114,948/yr",Range: $94K - $149K,cisco
127,Software Test Engineer,"$104,112/yr",Range: $83K - $136K,cisco
128,Senior Finance Manager,"$154,452/yr",Range: $129K - $184K,cisco
129,Program/Project Manager,"$117,113/yr",Range: $83K - $140K,cisco
130,Senior Business Development Manager,"$168,217/yr",Range: $148K - $190K,cisco
131,Operations Director,"$202,175/yr",Range: $175K - $238K,cisco
132,Program Manager II,"$126,048/yr",Range: $88K - $165K,cisco
133,Territory Manager,"$82,205/yr",Range: $79K - $88K,cisco
134,Senior Account Manager,"$94,253/yr",Range: $65K - $167K,cisco
135,Program Manager - IT,"$143,338/yr",Range: $119K - $159K,cisco
136,IT Service Lead,"$138,811/yr",Range: $108K - $157K,cisco
137,Sales,"$111,114/yr",Range: $58K - $157K,cisco
139,Project Manager II,"$112,585/yr",Range: $87K - $144K,cisco
140,Customer Success Manager,"$94,278/yr",Range: $72K - $136K,cisco
141,Executive Assistant,"$87,781/yr",Range: $67K - $100K,cisco
142,Engineering Director,"$218,767/yr",Range: $199K - $287K,cisco
143,Pre-Sales Engineer,"$151,936/yr",Range: $134K - $170K,cisco
144,Software Developer,"$102,928/yr",Range: $70K - $152K,cisco
145,Global Account Manager,"$116,919/yr",Range: $86K - $144K,cisco
146,Technical Support Engineer,"$97,940/yr",Range: $67K - $108K,cisco
147,Engagement Manager,"$131,762/yr",Range: $122K - $165K,cisco
148,Controller,"$177,984/yr",Range: $139K - $203K,cisco
149,IT Engineer I,"$87,049/yr",Range: $64K - $102K,cisco
150,Finance Business Manager,"$127,201/yr",Range: $103K - $157K,cisco
152,Service Delivery Manager,"$125,351/yr",Range: $87K - $157K,cisco
153,Senior Systems Engineer,"$148,701/yr",Range: $96K - $199K,cisco
154,"Senior Manager, Marketing","$170,714/yr",Range: $133K - $184K,cisco
155,Senior IT Manager,"$167,845/yr",Range: $147K - $187K,cisco
156,"Senior Manager, Operations","$169,054/yr",Range: $141K - $195K,cisco
157,Project Specialist,"$78,519/yr",Range: $61K - $100K,cisco
158,Marketing Manager II,"$141,036/yr",Range: $125K - $170K,cisco
159,IT Senior Manager,"$167,107/yr",Range: $144K - $182K,cisco
160,Finance Controller,"$155,250/yr",Range: $139K - $183K,cisco
161,Project Manager - Contractor,"$99,599/yr",Range: $54K - $201K,cisco
162,Finance Analyst,"$86,136/yr",Range: $73K - $103K,cisco
163,Retail Sales Consultant,"$42,344/yr",Range: $40K - $45K,cisco
164,Administrative Assistant,"$70,237/yr",Range: $50K - $84K,cisco
165,Demand Planning Manager,"$134,070/yr",Range: $108K - $165K,cisco
166,Senior Director Engineering,"$253,602/yr",Range: $220K - $279K,cisco
167,Integrated Marketing Communications Manager,"$136,486/yr",Range: $90K - $184K,cisco
168,California,"$128,030/yr",Range: $101K - $189K,cisco
169,Manufacturing Program Manager,"$127,217/yr",Range: $93K - $139K,cisco
170,Program Manager New Products,"$133,903/yr",Range: $113K - $141K,cisco
171,Senior Business Analyst,"$120,460/yr",Range: $89K - $130K,cisco
172,Quality Systems Engineer,"$131,403/yr",Range: $108K - $157K,cisco
173,Systems Engineer I,"$97,998/yr",Range: $85K - $140K,cisco
174,Data Analyst,"$85,504/yr",Range: $66K - $112K,cisco
176,Solutions Consultant,"$129,213/yr",Range: $97K - $146K,cisco
177,Senior Product Line Manager,"$169,229/yr",Range: $146K - $194K,cisco
178,IT Engineer IV,"$119,134/yr",Range: $89K - $162K,cisco
179,Program Manager - Contractor,"$131,940/yr",Range: $82K - $168K,cisco
180,Channel Account Manager,"$76,603/yr",Range: $58K - $112K,cisco
181,Senior Manager Software Development Engineering,"$176,247/yr",Range: $154K - $200K,cisco
182,Technical Marketing Manager,"$140,368/yr",Range: $100K - $180K,cisco
183,Account Executive,"$90,334/yr",Range: $48K - $133K,cisco
185,Business Architect,"$134,537/yr",Range: $113K - $147K,cisco
186,Senior Solutions Architect,"$162,478/yr",Range: $136K - $196K,cisco
188,Software Engineer - Contractor,"$93,486/yr",Range: $65K - $171K,cisco
189,Senior Systems Engineering Manager,"$178,291/yr",Range: $159K - $202K,cisco
190,Sales Engineer,"$111,211/yr",Range: $96K - $153K,cisco
191,Product Line Manager,"$161,703/yr",Range: $105K - $194K,cisco
193,Senior Manager Operations,"$165,068/yr",Range: $147K - $208K,cisco
195,Principal Software Engineer,"$189,714/yr",Range: $118K - $213K,cisco
196,Virtual Systems Engineer,"$98,768/yr",Range: $86K - $170K,cisco
197,Senior Software Engineering Manager,"$183,577/yr",Range: $162K - $205K,cisco
198,New Product Introduction Engineer,"$118,359/yr",Range: $92K - $136K,cisco
199,IT Business Analyst,"$91,189/yr",Range: $70K - $129K,cisco
200,Research Engineer,"$104,973/yr",Range: $86K - $128K,cisco
201,HR Manager,"$135,359/yr",Range: $114K - $152K,cisco
202,Finance Business Manager II,"$131,655/yr",Range: $113K - $144K,cisco
203,IT Service Manager,"$138,070/yr",Range: $101K - $172K,cisco
204,User Experience Designer,"$115,088/yr",Range: $91K - $134K,cisco
205,Senior Software Test Engineer,"$136,372/yr",Range: $108K - $148K,cisco
208,Marketing Programs Manager,"$129,316/yr",Range: $91K - $161K,cisco
209,Software Engineering,"$105,810/yr",Range: $84K - $114K,cisco
211,Component Engineer,"$105,462/yr",Range: $93K - $134K,cisco
212,Member of Technical Staff,"$136,363/yr",Range: $110K - $163K,cisco
213,Technical Support Manager,"$134,371/yr",Range: $100K - $169K,cisco
214,Software Engineer V,"$134,134/yr",Range: $130K - $149K,cisco
215,Information Security Engineer,"$128,669/yr",Range: $72K - $147K,cisco
216,"Director, Operations","$200,543/yr",Range: $187K - $260K,cisco
218,Manager Systems Engineering,"$160,066/yr",Range: $106K - $224K,cisco
219,Customer Solutions Architect,"$175,081/yr",Range: $167K - $189K,cisco
221,"Director, Marketing","$205,655/yr",Range: $145K - $286K,cisco
222,Global Operations Program Manager,"$126,628/yr",Range: $92K - $153K,cisco
225,Finance Business Manager I,"$123,830/yr",Range: $110K - $146K,cisco
226,Sales Manager,"$111,376/yr",Range: $65K - $176K,cisco
227,Executive Communications Manager,"$149,995/yr",Range: $132K - $180K,cisco
228,Consulting Engineer,"$124,842/yr",Range: $63K - $150K,cisco
229,Sales Representative,"$85,102/yr",Range: $52K - $162K,cisco
230,Technical Writer III,"$103,499/yr",Range: $88K - $114K,cisco
231,Senior Engineer,"$121,050/yr",Range: $84K - $173K,cisco
232,Consultant,"$108,046/yr",Range: $32K - $147K,cisco
233,Senior Software Manager,"$172,226/yr",Range: $150K - $213K,cisco
234,Sr. Software Engineer,"$130,152/yr",Range: $95K - $187K,cisco
235,Data Scientist,"$122,673/yr",Range: $95K - $168K,cisco
236,Enterprise Architect,"$152,693/yr",Range: $134K - $197K,cisco
237,Software QA Engineering Manager,"$142,937/yr",Range: $125K - $160K,cisco
238,Business Analyst - Contractor,"$88,845/yr",Range: $54K - $129K,cisco
239,"Sales, Business Development Manager","$139,981/yr",Range: $97K - $239K,cisco
240,Business Development Director,"$199,103/yr",Range: $171K - $250K,cisco
241,IT Analyst I,"$81,398/yr",Range: $78K - $86K,cisco
242,Marketing Director,"$212,754/yr",Range: $173K - $222K,cisco
243,Software Engineering Manager II,"$149,417/yr",Range: $98K - $173K,cisco
244,Client Executive,"$113,788/yr",Range: $103K - $160K,cisco
247,Market Intelligence Manager,"$126,938/yr",Range: $88K - $177K,cisco
248,Systems Test Engineer,"$97,420/yr",Range: $74K - $128K,cisco
249,Senior Business Operations Manager,"$156,922/yr",Range: $140K - $202K,cisco
250,Network Consulting Engineer V,"$137,774/yr",Range: $115K - $165K,cisco
251,"Director, Product Management","$205,489/yr",Range: $181K - $230K,cisco
252,Network Consulting Engineer II,"$82,401/yr",Range: $70K - $95K,cisco
253,Global Supply Chain Manager,"$160,432/yr",Range: $130K - $202K,cisco
254,IT Engineer II,"$82,828/yr",Range: $70K - $107K,cisco
255,"Senior Manager, Business Development","$163,914/yr",Range: $137K - $199K,cisco
256,Technical Writer,"$96,855/yr",Range: $62K - $137K,cisco
257,Program Specialist,"$96,367/yr",Range: $78K - $131K,cisco
258,Project Manager IT,"$107,316/yr",Range: $92K - $126K,cisco
259,"Manager, Marketing","$138,884/yr",Range: $110K - $167K,cisco
260,IT Engineer III,"$113,296/yr",Range: $93K - $121K,cisco
261,Supply Chain Manager,"$148,987/yr",Range: $117K - $185K,cisco
262,Manufacturing Test Development Engineer,"$128,414/yr",Range: $119K - $136K,cisco
263,Network Engineer - Contractor,"$81,732/yr",Range: $50K - $133K,cisco
264,Distinguished Engineer,"$239,177/yr",Range: $219K - $271K,cisco
265,Systems Engineering Manager,"$164,556/yr",Range: $154K - $182K,cisco
266,"Manager, Operations","$148,607/yr",Range: $119K - $189K,cisco
267,Software Development Engineer III,"$121,124/yr",Range: $92K - $133K,cisco
268,Marketing Communications Manager,"$120,934/yr",Range: $83K - $155K,cisco
270,Data Analyst - Contractor,"$90,161/yr",Range: $38K - $126K,cisco
271,Technical Architect,"$117,398/yr",Range: $107K - $158K,cisco
272,Director of Finance,"$208,103/yr",Range: $178K - $279K,cisco
273,Senior Tech Lead,"$178,493/yr",Range: $151K - $205K,cisco
274,Senior User Experience Designer,"$145,365/yr",Range: $103K - $183K,cisco
275,Technical Leader - Software,"$153,930/yr",Range: $137K - $165K,cisco
276,"IT Engineer, Senior","$112,767/yr",Range: $97K - $136K,cisco
277,"Senior Director, Product Management","$250,446/yr",Range: $151K - $280K,cisco
278,"Technical Leader, Engineering","$158,635/yr",Range: $131K - $167K,cisco
280,Operations Program Manager,"$119,211/yr",Range: $88K - $162K,cisco
281,Network Security Engineer,"$97,041/yr",Range: $74K - $108K,cisco
282,Regional Manager,"$161,860/yr",Range: $141K - $178K,cisco
283,Marketing Manager III,"$150,868/yr",Range: $120K - $159K,cisco
284,Solutions Architect II,"$158,342/yr",Range: $142K - $189K,cisco
285,Analyst,"$70,077/yr",Range: $49K - $103K,cisco
286,Sales Director,"$206,203/yr",Range: $162K - $216K,cisco
287,Marketing Project Specialist (Analyst),"$72,784/yr",Range: $66K - $102K,cisco
288,Sales Account Manager,"$75,497/yr",Range: $54K - $112K,cisco
290,Manufacturing Quality Engineer,"$129,043/yr",Range: $122K - $143K,cisco
291,Senior Corporate Counsel,"$178,461/yr",Range: $160K - $207K,cisco
292,Technical Writer IV,"$131,425/yr",Range: $120K - $143K,cisco
293,High Touch Operations Manager,"$96,455/yr",Range: $79K - $116K,cisco
294,Hardware Engineering Manager,"$184,607/yr",Range: $149K - $215K,cisco
295,Senior Software Development Manager,"$175,013/yr",Range: $153K - $212K,cisco
296,Channel Manager,"$111,976/yr",Range: $106K - $128K,cisco
297,Marketing Program Manager,"$98,501/yr",Range: $52K - $158K,cisco
298,Cisco Network Engineer,"$98,453/yr",Range: $41K - $153K,cisco
299,Senior Security Consultant,"$120,315/yr",Range: $111K - $149K,cisco
300,Human Resources Program Manager,"$130,442/yr",Range: $106K - $141K,cisco
301,Product Specialist,"$79,444/yr",Range: $67K - $122K,cisco
302,Technical Consulting Engineer,"$78,056/yr",Range: $62K - $100K,cisco
304,Senior Human Resources Manager,"$165,023/yr",Range: $147K - $191K,cisco
305,CSE,"$148,189/yr",Range: $56K - $156K,cisco
306,Software Engineering Director,"$215,356/yr",Range: $198K - $243K,cisco
307,Communications Manager,"$118,373/yr",Range: $85K - $145K,cisco
308,Customer Service Specialist,"$78,118/yr",Range: $65K - $135K,cisco
309,IT Engineer V,"$135,102/yr",Range: $124K - $142K,cisco
310,Senior Integrated Marketing Communications Manager,"$142,850/yr",Range: $117K - $190K,cisco
312,Design Engineer,"$125,266/yr",Range: $81K - $184K,cisco
313,Senior IT Analyst,"$118,791/yr",Range: $91K - $157K,cisco
314,Architect,"$149,635/yr",Range: $140K - $208K,cisco
315,Hardware Engineer I,"$88,426/yr",Range: $76K - $95K,cisco
316,Technical Program Manager,"$128,647/yr",Range: $101K - $162K,cisco
317,Senior Customer Support Engineer,"$111,968/yr",Range: $12K - $121K,cisco
318,Project Manager III,"$123,687/yr",Range: $88K - $140K,cisco
320,Sales Executive,"$118,446/yr",Range: $62K - $226K,cisco
321,"Senior Manager, Program Management","$157,969/yr",Range: $136K - $194K,cisco
322,Customer Support Engineer I,"$69,640/yr",Range: $65K - $75K,cisco
323,Commercial Sales Associate,"$53,839/yr",Range: $41K - $65K,cisco
324,Engineering Program Manager,"$127,760/yr",Range: $113K - $161K,cisco
327,Network Consulting Engineer VI,"$133,251/yr",Range: $103K - $150K,cisco
328,Senior Controller,"$171,522/yr",Range: $153K - $192K,cisco
329,Associate Sales Representative,"$53,697/yr",Range: $48K - $57K,cisco
330,Senior Manager - Strategy & Operations,"$161,252/yr",Range: $155K - $203K,cisco
331,System Engineer,"$111,142/yr",Range: $80K - $148K,cisco
332,Partner Account Manager,"$104,175/yr",Range: $81K - $173K,cisco
333,Territory Account Manager,"$74,002/yr",Range: $46K - $102K,cisco
334,Inside Sales Account Manager,"$61,251/yr",Range: $59K - $83K,cisco
335,Network Support Engineer,"$91,776/yr",Range: $78K - $102K,cisco
336,Senior Technical Marketing Engineer,"$142,125/yr",Range: $115K - $172K,cisco
337,"Senior Manager, Product Marketing","$175,013/yr",Range: $135K - $191K,cisco
338,Technical Account Manager,"$81,739/yr",Range: $75K - $148K,cisco
339,Software Engineer-IV,"$130,622/yr",Range: $114K - $154K,cisco
340,"Senior Director, Marketing","$266,146/yr",Range: $230K - $284K,cisco
341,Cross-Functional Project Specialist,"$69,479/yr",Range: $56K - $78K,cisco
343,Customer Operations Manager,"$126,103/yr",Range: $63K - $144K,cisco
345,Network Administrator,"$80,128/yr",Range: $38K - $91K,cisco
346,Tech Lead I,"$156,825/yr",Range: $134K - $162K,cisco
347,Education Specialist,"$117,060/yr",Range: $77K - $128K,cisco
348,User Experience Design Engineer,"$158,602/yr",Range: $91K - $185K,cisco
350,UX Designer,"$103,635/yr",Range: $98K - $145K,cisco
351,QA Engineer,"$116,429/yr",Range: $87K - $136K,cisco
352,Product Manager III,"$151,050/yr",Range: $116K - $176K,cisco
353,Global Account Manager III,"$117,276/yr",Range: $112K - $163K,cisco
354,Delivery Manager,"$99,431/yr",Range: $85K - $162K,cisco
355,Learning and Development Manager,"$144,370/yr",Range: $123K - $160K,cisco
356,Product Sales Specialist III,"$114,184/yr",Range: $109K - $117K,cisco
357,Devops Engineer,"$122,532/yr",Range: $104K - $163K,cisco
358,Network Consulting Engineer Grade 10,"$109,148/yr",Range: $106K - $135K,cisco
359,Customer Operations Analyst,"$128,920/yr",Range: $78K - $161K,cisco
360,"Software Engineer, Technical Lead","$151,603/yr",Range: $133K - $170K,cisco
361,Commercial Manager,"$101,352/yr",Range: $96K - $118K,cisco
362,Data Architect,"$136,987/yr",Range: $118K - $153K,cisco
363,Enterprise Sales Manager,"$121,051/yr",Range: $116K - $145K,cisco
364,Virtual Partner Account Manager,"$62,658/yr",Range: $51K - $67K,cisco
365,Software II Engineer,"$114,192/yr",Range: $112K - $126K,cisco
366,Human Resources Business Partner,"$143,671/yr",Range: $113K - $154K,cisco
368,Systems Architect,"$147,616/yr",Range: $118K - $180K,cisco
370,Customer Service Engineer,"$74,346/yr",Range: $63K - $77K,cisco
372,Solutions Marketing Manager,"$145,214/yr",Range: $94K - $174K,cisco
373,Service & Operations Manager,"$163,686/yr",Range: $112K - $184K,cisco
375,Associate Account Manager,"$48,492/yr",Range: $47K - $121K,cisco
376,North Carolina,"$105,592/yr",Range: $82K - $117K,cisco
377,Sr Manager,"$156,750/yr",Range: $148K - $178K,cisco
380,Mechanical Product Engineer,"$100,357/yr",Range: $94K - $110K,cisco
381,Strategic Account Manager,"$100,199/yr",Range: $80K - $119K,cisco
382,Marketing Communications Specialist,"$77,988/yr",Range: $68K - $92K,cisco
383,Integration Architect,"$118,521/yr",Range: $110K - $131K,cisco
384,Senior Manager Product Marketing,"$162,733/yr",Range: $150K - $176K,cisco
385,Marketing Analyst,"$88,380/yr",Range: $74K - $106K,cisco
386,Senior Manager - Software Development,"$170,730/yr",Range: $162K - $201K,cisco
388,Web Developer,"$82,961/yr",Range: $78K - $124K,cisco
389,Marketing Project Specialist,"$65,174/yr",Range: $54K - $84K,cisco
391,Director of Software Development,"$202,667/yr",Range: $201K - $215K,cisco
392,Product Owner,"$106,988/yr",Range: $78K - $130K,cisco
393,Service Account Manager,"$107,859/yr",Range: $63K - $182K,cisco
394,Hardware Test Engineer,"$89,485/yr",Range: $63K - $115K,cisco
395,Software Architect,"$162,221/yr",Range: $120K - $198K,cisco
396,Software Engineer -II,"$109,794/yr",Range: $86K - $114K,cisco
397,Technical Project Manager,"$133,287/yr",Range: $114K - $151K,cisco
398,Senior Technical Program Manager,"$146,821/yr",Range: $127K - $167K,cisco
400,Computer Scientist,"$131,410/yr",Range: $12K - $194K,adobe
401,Software Engineer,"$114,624/yr",Range: $75K - $170K,adobe
402,Senior Computer Scientist,"$176,234/yr",Range: $120K - $241K,adobe
403,Senior Software Engineer,"$141,455/yr",Range: $93K - $192K,adobe
404,Product Manager,"$141,469/yr",Range: $101K - $184K,adobe
405,Senior Product Manager,"$165,227/yr",Range: $127K - $198K,adobe
406,Quality Engineer,"$106,718/yr",Range: $86K - $134K,adobe
407,Senior Program Manager,"$155,690/yr",Range: $116K - $194K,adobe
408,Software Quality Engineer,"$108,724/yr",Range: $80K - $145K,adobe
409,Account Development Manager,"$61,498/yr",Range: $45K - $119K,adobe
410,Senior Manager,"$164,074/yr",Range: $104K - $222K,adobe
411,Engineering Manager,"$163,555/yr",Range: $137K - $206K,adobe
412,Program Manager,"$127,217/yr",Range: $85K - $174K,adobe
413,Member of Technical Staff,"$99,403/yr",Range: $82K - $125K,adobe
415,Group Product Manager,"$196,660/yr",Range: $172K - $238K,adobe
416,Account Manager,"$78,035/yr",Range: $51K - $115K,adobe
417,Senior Consultant,"$127,891/yr",Range: $99K - $150K,adobe
418,Senior Engineering Manager,"$200,678/yr",Range: $165K - $246K,adobe
419,Director,"$208,859/yr",Range: $146K - $267K,adobe
421,Project Manager,"$99,715/yr",Range: $61K - $147K,adobe
422,Scientist,"$120,944/yr",Range: $103K - $150K,adobe
423,Senior Product Marketing Manager,"$166,369/yr",Range: $140K - $200K,adobe
424,Product Marketing Manager,"$136,912/yr",Range: $107K - $153K,adobe
425,Senior Account Executive,"$127,963/yr",Range: $73K - $173K,adobe
426,Research Scientist,"$155,304/yr",Range: $129K - $184K,adobe
427,User Experience Designer,"$111,428/yr",Range: $65K - $162K,adobe
428,Financial Analyst,"$65,936/yr",Range: $53K - $87K,adobe
429,Software Developer,"$104,981/yr",Range: $78K - $141K,adobe
431,Senior Solutions Consultant,"$143,918/yr",Range: $106K - $183K,adobe
432,Senior Experience Designer,"$143,508/yr",Range: $133K - $148K,adobe
433,Business Development Manager,"$138,201/yr",Range: $102K - $154K,adobe
434,Senior Marketing Manager,"$172,517/yr",Range: $128K - $194K,adobe
435,Experience Designer,"$115,885/yr",Range: $97K - $133K,adobe
436,Associate Consultant,"$72,549/yr",Range: $62K - $101K,adobe
437,Quality Engineering Developer,"$97,931/yr",Range: $89K - $155K,adobe
438,Senior Scientist,"$158,940/yr",Range: $140K - $187K,adobe
439,Enterprise Account Executive,"$110,316/yr",Range: $82K - $155K,adobe
440,Business Systems Analyst,"$112,152/yr",Range: $80K - $159K,adobe
441,Business Analyst,"$97,550/yr",Range: $55K - $135K,adobe
442,Solutions Consultant,"$125,096/yr",Range: $76K - $162K,adobe
443,Marketing Specialist,"$78,130/yr",Range: $64K - $90K,adobe
