,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,company
10,Mon Jun 24 2019 23:40:10 GMT-0700 (Pacific Daylight Time), Director,,Former Employee ,Good benefits; Little achievements,I worked at Dropbox full-time for more than a year,12.0,"Good benefits and one of the best food in the area; could be a great place if your goal is to have a ""good time"".","Culture is the keyword here but many people here think culture is only about free stuff. There are too many people doing similar jobs and the organization structure and achievement is sorely lacking. ""Nice"" culture creates passive aggressive behavior and lack of courage to do the right things. Stay away if you are an achiever.",Empower middle managers since they are the ones who will help scale the company beyond current stage.,2.0,4.0,2.0,1.0,3.0,2.0,dropbox
11,Tue Jun 18 2019 12:59:51 GMT-0700 (Pacific Daylight Time),,,Former Employee ,Good place to balance work/life,I worked at Dropbox full-time,,Pay was substantial and work/life balance reasonable.,Can't think of any at the moment.,,5.0,,,,,,dropbox
12,Wed Jun 12 2019 17:16:44 GMT-0700 (Pacific Daylight Time), Account Executive,"Austin, TX",Current Employee ,Culture!,I have been working at Dropbox full-time for more than a year,,"The Culture, The people, The over all environment","Smaller office, you will gain weight with the amazing food.",,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
13,Sun Jun 09 2019 23:01:24 GMT-0700 (Pacific Daylight Time), Security Architect,"San Francisco, CA",Current Employee ,Nice all around,I have been working at Dropbox full-time for more than 3 years,,They feed you and hand you great projects,What else could you ask for?,Pay more. Seriously.,5.0,4.0,5.0,5.0,3.0,5.0,dropbox
14,Fri Jun 14 2019 12:22:08 GMT-0700 (Pacific Daylight Time),,,Former Employee ,It's an amazing company!,I worked at Dropbox full-time for more than 3 years,2.0,"Great culture and people- super smart, dedicated, friendly. The values are for the most part lived in the day to day. You'll have all the resources you need to get your job done. There is a lot of opportunity and mobility. The benefits are out of this world. Some recent strategic changes to the product that are really exciting!","The experience can vary based on your manager and I don't think there's a great way to coach and grow leaders that are not serving their team the best. 
There needs to be a tighter link between product feedback from customers small and large and product development. It's a hyper competitive market and they need to respond quicker to competition and customer asks.","Implement better feedback loops! You hire great people but pay attention to those managers that are not performing where you thought they would- I bet the signs form their team are coming in loud and clear. Overall my time at Dropbox was magical and it's a great place to work, learn and grow.",4.0,5.0,5.0,5.0,5.0,4.0,dropbox
15,Mon Jun 03 2019 07:08:14 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"New York, NY",Current Employee ,"Great place to work, normal big company woes",I have been working at Dropbox full-time for less than a year,,"Big, successful tech company that makes money by selling a product rather than its users’ private data; product is beloved by many; practically limitless scope for career growth of individual contributors, without needing to transition to management; effective processes for high-level product and technical decision-making; great work/life balance; top-tier office and job perks.","Reorgs are common and engineers tend to move teams a lot, reducing incentives to write maintainable code; aggressive internal deadlines add incentives to write unmaintainable code in order to ship quickly; issues are bounced around as teams refute “ownership” of the code in question; no strong company-wide standard of people management is in evidence, and managers’ aptitude for the job varies; career advancement seems to hinge more on following the letter of the leveling guidelines than actual job performance; NYC office gets next to no natural light.",Take people management more seriously as a skill; work with technical leadership to foster a stronger culture around code quality.,4.0,5.0,5.0,5.0,5.0,4.0,dropbox
16,Thu Jun 13 2019 05:49:44 GMT-0700 (Pacific Daylight Time),,,Former Employee ,DON'T BOTHER WORKING HERE: RUTHLESS - ARROGANT - OUT OF TOUCH WITH REALITY,I worked at Dropbox full-time,9.0,"Okay pay, decent benefits, great product","Run by a bunch of arrogant kids that think they know it all. My manager had no social skills - when I first started and was in the process of moving from one state to another, I asked for two weeks to complete the moving process and his answer was ""I don't get paid to resolve your housing arrangements."" Then, I honestly filled out a survey and pointed out the lack of empowerment, when I pointed out the bad decisions he was making, he was up set and fired back with a new set of performance rules just for me. He manages a territory without having put foot in it, until recently and would not listen to advice.","Deliver what you preach: Truly care for employees, don't leave it up to managers that care more about their pride and not about DBX, protect your people when they speak their mind. Put someone that knows about the culture of a territory to manage it vs. an American that has no clue about the territory or the culture of the territory and is out of touch with reality, and arrogantly wants to impose his views in a different culture.",1.0,1.0,1.0,1.0,1.0,1.0,dropbox
17,Mon Apr 29 2019 15:00:02 GMT-0700 (Pacific Daylight Time),,"San Francisco, CA",Former Employee ,Don't Be Wooed by the Food,I worked at Dropbox full-time for less than a year,14.0,"TuckShop serves up the best food in the Bay Area. Great benefits including health, dental, vision, commuter subsidy, cell phone, health/wellness subsidy, and more. Outside of work specialty events such as company picnic and holiday party were a blast. Great support teams for employee on-boarding. Fun work environment and great community of people to work around.","Don't let the food distract you from what is going on. I was merely hired as a diversity box to check. Upper level leadership states that diversity and inclusion are ""important"" and a ""high-priority"" but in researching the trends of POCs and women in the Dropbox workplace, you will see that there are major swings, not allowing for POCs to get comfortable in the workplace. You will also be paid less than your counterparts who are in the same role, with the same level of experience but display a less diverse demographic background. ERGs were great to find community in but that message needs to not only be a safe space to find community but it should mean something to upper level leadership. 

Dropbox promotes people into positions of power who have never lead a team before and who should never be allowed the opportunity to offer guidance to other human beings. There is zero intention behind the hiring and separation process which directly displays the patriarchal, ""Boy's Club,"" stigma of the Bay Area Tech Industry.

If you want to make an impact here, I highly suggest knowing someone higher up and not deviating from their ideologies. New and differing ideas are not welcomed from my understanding.

There is also not a very clear direction that this product is heading in. There are multiple different value propositions, giving employees the feeling of having their hands in too many buckets at one time. There is also no clarity on who to turn to when trying to problem solve.","Be intentional about your hiring and promotion process. Often times length of service, age, traditional tech industry demographics, or technical acumen does not directly correlate to high quality leadership. Hiring people that are different from you may actually benefit the overall camaraderie of your organization and provide a higher ability to achieve greatness.",3.0,3.0,4.0,3.0,5.0,3.0,dropbox
18,Sun May 05 2019 09:21:09 GMT-0700 (Pacific Daylight Time), Software Engineer,,Current Employee ,Takes care of employees,I have been working at Dropbox full-time for more than a year,,Cares about employees and tries to improve after gathering feedback.,Should move at faster pace.,,5.0,4.0,5.0,4.0,4.0,4.0,dropbox
19,Mon Apr 22 2019 22:45:41 GMT-0700 (Pacific Daylight Time), Product Operations,"Seattle, WA",Current Employee ,you will make a big impact here.,I have been working at Dropbox full-time for less than a year,2.0,"great culture (have been in tech ~6 years, best culture I've experienced thus far)
-they really take care of you -- all the food, snacks, drinks you could ever want + lots of learning & development opportunities on a regular basis, learning stipend, VTO, lots of other great perks/benefits
-I have learned a ton in my current role but generally manage work / life balance pretty well","Work/life balance depends on your team/role, and mine, personally tends to fluctuate depending on projects I'm working on. There could always be more women/people of color in leadership positions, but I know it's a priority for the company.",Continue to add more diversity to leadership.,5.0,4.0,5.0,5.0,5.0,4.0,dropbox
20,Fri Apr 26 2019 14:01:39 GMT-0700 (Pacific Daylight Time), Product Designer,"San Francisco, CA",Current Employee ,People-first culture (users AND employees),I have been working at Dropbox full-time for less than a year,,"I've interviewed and all types of tech companies, from scrappy startups, to mid-stage post-PMF Series B startups, as well as most of the big name consumer tech companies. 

TLDR: Dropbox, by far, was for me the best candidate experience, and after I was hired, my onboarding was thoughtful, seamless, reasonably paced, and there were no culture shocks or surprises—everybody has been so kind; also, Dropbox has awesome values that put people first (both employees and users). 

+ The recruiter was exceptionally kind and thoughtful, as well as deeply knowledgeable about their area of focus. They were genuinely advocating for me every step of the interview process. 

+ The general approach and philosophy was assessing mutual fit, both for culture and for the technical aspects of the role I was applying for. It was explained that this was a conversation, and there was no rush to get me through the funnel. This was awesome because many other companies play the numbers game and just try to get people through. Dropbox's approach feels more human and respectful.

+ Every interview I met with throughout my interview process was engaging, enthusiastic, knowledgeable, and attentive. I've been in interviews at other companies where people are literally falling asleep in our 1:1 or on their phone during my presentation.

+ The documentation and resources are extensive and well organized. For new employees, there's a good balance between in-person instruction/coaching/onboarding and self-serve.

+ The benefits are outstanding. Probably some of the best in the industry.

+ Diversity, Equity, and Inclusion seems to be real here, and not just paid PR lip service.

+ Dropbox does seem to value work/life balance.

+ Dropbox has a clear leveling system with a clear career framework for assessing real business impact as a way to objectively promote employees.","+ Like all companies, Dropbox isn't a perfect machine, and every team is different. So, you should be prepared to come in with fresh eyes, get to know your team's strengths and weaknesses, and bring your expertise to bear on processes and collaboration.

+ I'm a new hire, so I'll need a few more months to get oriented.",,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
21,Thu Apr 18 2019 17:51:48 GMT-0700 (Pacific Daylight Time), Administrative Assistant,"San Francisco, CA",Current Employee ,Great Company!,I have been working at Dropbox full-time for more than a year,,Everyone is super friendly and always willing to help. Tuck Shop food is amazing.,Takes a lot to make changes.,,5.0,4.0,5.0,4.0,5.0,,dropbox
22,Thu Apr 18 2019 20:18:51 GMT-0700 (Pacific Daylight Time),,,Current Employee ,VP of Marketing,I have been working at Dropbox full-time for less than a year,,"A company that takes it culture seriously and lives those values every day. The best word to describe the culture here is ‘human’. They care about people and have created a culture of trust where people can do their best work. In my 20-year career, I’ve heard a lot of lip service to culture but this is a company that really lives it.",It’s a large and growing company so can be intimidating to navigate. Some of the functions and divisions have names that are not readily understandable to newcomers. Products are amazing and the overall brand message is inspiring. Would be great to get more detail about how the products and roadmap will differentiate the company in the future.,Continue to stay true to the values that have brought you this far. Don’t compromise on the people and the promise of where they can take if the culture is preserved.,5.0,5.0,5.0,4.0,5.0,5.0,dropbox
23,Fri Apr 19 2019 06:27:05 GMT-0700 (Pacific Daylight Time), Business Development,,Current Employee ,Best Workplace,I have been working at Dropbox full-time for less than a year,,"Dropbox has been nothing short of incredible thus far. Between the people, the vision, and the perks, I honestly couldn't imagine working anywhere else right now.","In the beginning, it's very much like diving into the deep end without knowing how to swim and learning on the way.",Keep doing what you're doing. You've got it figured it out.,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
24,Tue Apr 23 2019 21:23:58 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Lack of focus + non-inspiring products = future irrelevance,I have been working at Dropbox full-time,5.0,"Food
Facilities
Good benefits and pay
Broad reach/audience","Weak execution
Losing relevance in the market
Poor communication
Lacks a clear vision 
Best employees are leaving
No clear focus resulting in mediocrity on many things 
Poor internal infrastructure and tools
Moves very slowly",Focus less on the culture/facilities and aim for doing well on a few good things.,2.0,,,,,,dropbox
25,Thu Apr 11 2019 18:10:55 GMT-0700 (Pacific Daylight Time), Staff Software Engineer,,Current Employee ,Great place to work,I have been working at Dropbox full-time for less than a year,,"Amazing people, tough problems to solve and fantastic food!","The legacy codebase slows down development, but is being refactored.",,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
26,Fri Feb 01 2019 14:52:13 GMT-0800 (Pacific Standard Time), Senior Manager,,Current Employee ,The Best Company to Work For,I have been working at Dropbox full-time,21.0," Company Benefits: commuter benefits, free food (amazing!), health care (paid for by company), events that get everyone together, gym (and wellness subsidies), unlimited vacation, I could go on!
- Culture (most leaders lead by example, everyone is super polite, people try to live the company values): I would say the best co-workers I've ever had. I love this people. They've become friends rather than colleagues. 
- Office (including the cafeteria) is by far the most beautiful place I've ever worked at","So why not 5 stars, you ask? Like others have mentioned, the company is growing, and with that come growing pains. They need to establish more processes to add the discipline needed with a big company. We don't want bureaucracy, but in big companies, unfortunately that's needed. We sometimes hire leaders that talk a big game, but when it comes down to it, don't know how to execute. So it's a matter of finding our pace.","Don't get blinded by ""glitzzy"" candidates. Look for style & substance. Don't be afraid to establish processes that will help us remain disciplined and accountable. Set a direction and stick to it.",4.0,5.0,5.0,3.0,5.0,4.0,dropbox
27,Sun Mar 10 2019 14:00:58 GMT-0700 (Pacific Daylight Time), Design Program Manager,"San Francisco, CA",Current Employee ,Change the way the world works.,I have been working at Dropbox full-time for less than a year,1.0,"Ambitious mission 
Complex problem space 
Kindhearted, collaborative culture 
Transparent leaders 
Low ego
Diverse teams
Diverse customers","Consensus driven 
Changing product landscape",,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
28,Fri Feb 15 2019 04:08:39 GMT-0800 (Pacific Standard Time),,,Current Employee ,Large Company with large company strengths and weaknesses,I have been working at Dropbox full-time,17.0,"Great benefits
Tuck Shop food is really good. The Wellness Benefit is large and you can use it on a very wide variety of equipment and services. Company matches donations up to a certain amount.

Work Environment 
Newish building with many different work areas. Day to day functions are well organized so that you have relatively little administrative unpleasantness. An awesome Dropstop on every floor takes care of IT needs promptly.

Pockets of Engineering Excellence 
Some parts of the engineering organization are strong: Magic Pocket, sync, and machine learning stand out. Hack Week lives on.

HelloSign Acquisition
The company may have realized that it is organizationally/culturally not equipped to grow organically and now seems willing to acquire for growth.","Weak Strategic Thinking
""Evolving"" strategy as each year's strategy proved to not work. Each year's strategy is based on models of the industry where either the model is unconvincing or it is not at all clear why Dropbox's approach is the winning one.

Passive Aggressive Culture
People are always friendly face to face but beneath the veneer there is a lot of jockeying for power. Power distribution is evident when prizes projects get done by in power teams even though the area is theoretically another team's area of responsibility. People assign overflow tasks to other people even though they are responsible for it. People initially promise to do work and then shirk it without repercussions.

Politics
Ultimately unsuccessful projects were created and pushed out the door to get people promoted. Many people jump on board early on and generate immediately ridiculous shoddy user research to back up the work. Shallow technology is hyped as awesome and weak initial indicators are seen as good. Many of the promoted people still remain or get promoted even further up to do more damage.

Promotions are based on getting backing from managers and hopping on board initiatives that staff engineers or managers push. Each new set of staff engineers or managers disparages the work of the previous set and advocates for their own work. No one is willing to push back against what they say.

Levels are uneven with some staff or senior engineers/QA who are anything but that. Long time mediocre people are accumulating. Some title inflation for new hires.

The attempt to make the culture more innovative is not working because the people who enforce and benefit from the culture are all still in positions of power.",Keep on acquiring companies.,3.0,4.0,2.0,1.0,4.0,2.0,dropbox
29,Wed Mar 06 2019 13:44:57 GMT-0800 (Pacific Standard Time), Growth Manager,"San Francisco, CA",Current Employee ,Losing their way and not scaling well,I have been working at Dropbox full-time for more than a year,11.0,"Food

-Work/life balance

-Benefits
-There are a lot of chances for ownership and a ton of work still to be done.

-The people are great. Dropbox is incredible at finding a diverse range of high quality people.

-Diversity.

-The company culture is very inclusive.

-Still has the feel of a much smaller company.","People are churning out very fast in the past 9-12mo.

-Busy work is rewarded. A lot of people put out a ton of ""work"", but very little has impact. The volume of work is often used by people to vouch for promotion, bonuses, or transfer to higher roles in other teams.

-Reorgs. The company has had 6 internal re-orgs on teams I have been on since I joined. Imagine working on a project for 6 months, getting everything in line and then leadership decides to do something completely different. This makes it super hard for many people to actually accomplish something start to finish.

-A lot of teams are made up mostly by people who come in through the Dropbox Rotation Program out of school. I find that these teams are highly tribal, not open to criticism, and often do not do very high quality work but know how to play the system very well.

-Peer review process is hit or miss and a lot is open to what feedback your managers choose to include. Moreover if you move to another team you can often be ""re-leveled"" and miss out on promotions or career path opportunities.

-Due to there being so much work to be in certain divisions, a lot of time is wasted on things that have minor impact. On one hand employees milk this because it makes them look like they do a ton of informative work, but on the other hand if you look at things from the big picture we learn slowly and can't scale ideas well.","Stop reorganizing divisions every few months.

-Invest more in data quality and analytics..

-Stop letting relatively inexperienced or junior staff interview technical candidates with more experience. You miss out on so many amazing candidates because the interviewer is simply not on the candidate's skill or communication level.

-Tuck Shop is cool, but you should trend towards serving healthier options. It becomes patronizing after the initial awe wears off.",2.0,5.0,3.0,3.0,3.0,1.0,dropbox
30,Sat Feb 23 2019 00:18:22 GMT-0800 (Pacific Standard Time), Software Engineer,"San Francisco, CA",Current Employee ,Great Working Environment,I have been working at Dropbox full-time for less than a year,,"People are nice and willing to help each other.
Lots of learning opportunities and able to make a real impact.
Great benefit and perks.","Some legacy code, but it is quite common for all company.",,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
31,Tue Feb 19 2019 23:55:39 GMT-0800 (Pacific Standard Time), Software Engineer,"San Francisco, CA",Current Employee ,Nothing to complain,I have been working at Dropbox full-time for more than a year,,Great culture. Tons of opportunities to learn and grow.,Grow pain. Very heavy context switching.,,5.0,4.0,5.0,5.0,5.0,4.0,dropbox
32,Tue Jan 29 2019 19:52:33 GMT-0800 (Pacific Standard Time),,"San Francisco, CA","Engineering Manager in San Francisco, CA",Amazing place to work,I worked at Dropbox for more than 3 years,,"Smart people, great perks, mission driven, interesting engineering problems.",No real cons that I can think of other than they're in a very competitive space.,,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
33,Wed Dec 19 2018 08:50:25 GMT-0800 (Pacific Standard Time), Human Resources,"San Francisco, CA",Current Employee ,Great work-life balance,I have been working at Dropbox full-time for less than a year,2.0,"Great culture. Leadership truly cares about employees
Great comp, benefits, and perks (amazing food)
Work-life balance. Work can be challenging at times, but not at the cost of personal life
Great future outlook and amazing, smart coworkers","Startup growing pain 
Need to formalize processes and promote consistency
Need to be able to make decisions fast",,5.0,5.0,5.0,4.0,5.0,5.0,dropbox
34,Tue Jan 01 2019 09:19:07 GMT-0800 (Pacific Standard Time), Line Cook,"San Francisco, CA",Current Employee ,line cook at tuck shop,I have been working at Dropbox full-time,6.0,the food is good and healthy,this is a good company to work for but the chef managers can be malicious and abusives creating a toxic work environment.,pay attention to the employees no matter whats their position in a big company like this one because everyone is important.,2.0,2.0,2.0,2.0,3.0,2.0,dropbox
35,Thu Dec 06 2018 15:20:59 GMT-0800 (Pacific Standard Time),,"Austin, TX",Current Employee ,I Love Dropbox!,I have been working at Dropbox full-time for more than a year,3.0,"Our mission and product strive to create a more enlightened way of working and that is evident in all that we do. The people that work here at Dropbox are INCREDIBLE. Everyone is intelligent and willing to share their wisdom as well as receive tips and tricks from others. This is truly a collaborative environment where I learn something new everyday. The sky is the limit, you can pitch any idea or project to management to try out and they will work with you to perfect a pitch and get things done. 
Company culture and fun are next level! I bring friends to visit and they are always blown away by our events. 
Work life balance is a top priority. 
Inclusivity is top notch. 
We are a large name in tech, but with a smaller work force which creates a lot of opportunity for individuals/teams to make large impacts.","Not so much a con as it is a warning - Dropbox is a work environment that is ever changing and evolving. If you are someone that needs structure, strict rules, or a step by step guide to you job, this probably isn't the place for you.","Continue evolving, admitting mistakes and making changes, and keep up the great work!",5.0,5.0,5.0,5.0,5.0,5.0,dropbox
36,Fri Dec 14 2018 13:40:54 GMT-0800 (Pacific Standard Time),,,Former Employee ,solid place to work,I worked at Dropbox full-time,,"Tons of perks, and many smart people to work with.","If you don't use the product, it's hard to identify with as much as consumer software.",,5.0,,,,,,dropbox
37,Thu Dec 06 2018 09:28:04 GMT-0800 (Pacific Standard Time), Senior Software Engineer,"New York, NY",Current Employee ,Seems great thus far!,I have been working at Dropbox full-time for less than a year,2.0,"Transparency is something that is great to see here - people are pretty open, willing to share information and willing to help you get acclimated. The tech culture seems somewhat mature but with a lot of room to grow as well, and no shortage of interesting problems still yet to solve, which can somewhat be an issue at a post-IPO company of this size. Ethically, this company seems to be in the right place and committed to doing the right thing - as opposed to the issues at other tech giants like Facebook, Google, Uber. Huge emphasis on security culture, which is excellent to see.",Food in New York isn't as good as the amazing Tuck Shop in the SF headquarters!,,5.0,,,,,,dropbox
38,Wed Dec 05 2018 08:46:08 GMT-0800 (Pacific Standard Time), Engineering Manager,"Seattle, WA",Current Employee ,Work at Dropbox Seattle (growth org),I have been working at Dropbox full-time for less than a year,1.0,"Strong product offering, good culture, nice people, ambitious goals","A little turbulent times as the company matures (processes, tools, long-term planning)",,5.0,5.0,5.0,5.0,5.0,3.0,dropbox
39,Wed Dec 05 2018 08:46:43 GMT-0800 (Pacific Standard Time),,"San Francisco, CA",Current Employee ,BEST COMPANY EVER,I have been working at Dropbox full-time for more than a year,1.0,"Cafeteria, people, CEOs, vision, values",There are really no cons from my experience.,,5.0,5.0,5.0,4.0,5.0,4.0,dropbox
40,Wed Dec 05 2018 09:02:43 GMT-0800 (Pacific Standard Time),,,Current Employee ,"Great culture, great people",I have been working at Dropbox full-time,1.0,"I have never worked for a company that cares so much for their employees. Dropbox offers an amazing setting to work and gives you all the tools you need to get your job done well. My co-workers and kind and respectful, and the company is self-reflective and ever-changing. I'm so proud to be a Dropboxer!",Decision making can be slow.,,5.0,5.0,5.0,4.0,5.0,5.0,dropbox
41,Wed Dec 05 2018 09:22:26 GMT-0800 (Pacific Standard Time),,"San Francisco, CA",Current Employee ,Pretty Darn Happy Here,I have been working at Dropbox full-time for less than a year,1.0,"Great culture, friendly people, supportive team, fun events, good compensation. Opportunity for growth and impact.","I'd rather be retired but, you know.",,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
42,Wed Dec 05 2018 10:23:44 GMT-0800 (Pacific Standard Time), Product Manager,"San Francisco, CA",Current Employee ,"Amazing culture and perks, great teammates",I have been working at Dropbox full-time for less than a year,1.0,"I've only been at Dropbox for a short time, but so far I've had an excellent experience. Beyond the unbelievable perks and benefits (and food!), people are smart, passionate, and very excited about the roadmap ahead of us. I'm actively trying to recruit all my friends to come work here too!","Dropbox is definitely not a startup. We're nearly 2000 people now, so it seems we're working through figuring out how to continue to move quickly and not get caught up in process, but the good news is the leadership team is aware of this trap and is working to avoid it.",,5.0,5.0,5.0,5.0,5.0,4.0,dropbox
43,Wed Dec 05 2018 19:45:12 GMT-0800 (Pacific Standard Time), Staff Tech Lead,"Seattle, WA",Current Employee ,Nice company,I have been working at Dropbox full-time for less than a year,,The quality of the people here is pretty good! The tech culture is strong.,Work schedule is more intensive than big companies.,,5.0,3.0,5.0,5.0,5.0,5.0,dropbox
44,Wed Dec 05 2018 09:00:44 GMT-0800 (Pacific Standard Time),,, ,Growth,I have been working at Dropbox,,"Incredibly smart, humble, motivated and fun people. Great food and company perks",Roles can be a bit ambiguous,,5.0,5.0,5.0,4.0,5.0,5.0,dropbox
45,Wed Dec 05 2018 09:44:55 GMT-0800 (Pacific Standard Time), Salesforce Administrative,"San Francisco, CA",Current Employee ,Salesfroce.com Administrator,I have been working at Dropbox full-time for less than a year,,Company vision is outstanding and gears towards team work and respectfulness towards your fellow colleagues. The organization is very transparent and treats all employees well.,A little tough to navigate through on boarding as there is a lot of information to absorb in.,,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
46,Wed Dec 05 2018 12:14:45 GMT-0800 (Pacific Standard Time),,,Current Employee ,QA Engineer,I have been working at Dropbox full-time,,"Excellent work culture
Super smart people 
Great Benefits
Love coming to work","Commute is an issue for people not staying in the city
Would be great if some shuttles could be provided from cal train or bart stations",,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
47,Mon Nov 19 2018 11:01:42 GMT-0800 (Pacific Standard Time), Data Engineer,"San Francisco, CA",Current Employee ,Perfect place to work,I have been working at Dropbox full-time for less than a year,,On-the-edge technologies and inner tools. Perfect culture and people. Amazing in-camp food.,Commuting to SF (it's always painful).,Take the same direction!,5.0,5.0,5.0,5.0,5.0,5.0,dropbox
48,Tue Nov 27 2018 14:02:24 GMT-0800 (Pacific Standard Time),,"Austin, TX","Technical Sourcer in Austin, TX",Sourcer,I have been working at Dropbox for more than a year,,I love the culture that we have here and the benefits,Can't really think of negatives,,4.0,4.0,5.0,4.0,4.0,4.0,dropbox
49,Fri Nov 16 2018 12:50:16 GMT-0800 (Pacific Standard Time),,,Former Employee ,lost it's rich culture,I worked at Dropbox full-time for more than 3 years,9.0,"location, amazing food, good benefits","early on this place was so rich in culture, its what made me want to work for dropbox. I looked forward to coming to work with amazing, talented and intelligent people who eventually became very close friends. over time, yes scale happens but this place just fell apart. all the amazing people left, i've heard more people complain about work in the last 6 months than over the last 3 years. hiring felt like we were working in a sweat shop. i'm not sure where all the inspiration went but i will always remember this place when i first joined, it was something no other company had.",,2.0,2.0,2.0,2.0,2.0,2.0,dropbox
