"Company","Rating","Title","Location","Salary"
"Presbyterian Healthcare Services","3.2","MIDLEVEL-PEDS URGENT CARE-CDS - PEDS UC","Albuquerque, NM",
"Presbyterian Healthcare Services","3.2","APC-INTERNAL MEDICINE-ACCESS-CDS - KC AHCS","Albuquerque, NM",
"Presbyterian Healthcare Services","3.2","BUSINESS SYSTEM ANALYST-SENIOR - FLUENT TSO PROVIDER/FINANCE","Albuquerque, NM","$65k-$102k"
"AdventHealth Carrollwood","3.7","Registered Nurse Emergency Department Full-Time Night 10K Sign On Bonus","Newfane, NY",
"Presbyterian Healthcare Services","3.2","RN - CLINICAL QUALITY OF CARE COORDINATOR - MEDICAL DIRECTOR","Albuquerque, NM","$125k-$200k"
"Presbyterian Healthcare Services","3.2","MIDLEVEL- INTERNAL MEDICINE - RR ADULT HC","Rio Rancho, NM",
"Presbyterian Healthcare Services","3.2","DIRECTOR NURSING CHILDREN'S","Albuquerque, NM",
"Presbyterian Healthcare Services","3.2","ASSISTANT MANAGER OF NURSING - PEDIATRIC HEMATOLOGY ONCOLOGY","Albuquerque, NM",
"Presbyterian Healthcare Services","3.2","APC-FAMILY MEDICINE-SFMC - ST MICHAELS FAMILY PRACTICE","Santa Fe, NM",
"Presbyterian Healthcare Services","3.2","CHARGE NURSE - LABOR & DELIVERY - SANTA FE MEDICAL CENTER","Santa Fe, NM",
"Presbyterian Healthcare Services","3.2","CHARGE NURSE - ADULT PROGRESSIVE CARE - SFMC","Santa Fe, NM",
"Presbyterian Healthcare Services","3.2","MIDLEVEL-PSYCHIATRY NURSE PRAC-CDS - KASEMAN BEHAV MED","Albuquerque, NM",
"Presbyterian Healthcare Services","3.2","EPIC CLIN CHAMPION-MIDLEVEL-CDS - CLINICAL TECHNOLOGY-TRANSFORM","Albuquerque, NM",
"Presbyterian Healthcare Services","3.2","CHARGE NURSE - ADULT PROGRESSIVE CARE (MED/SURG)","Santa Fe, NM",
"Presbyterian Healthcare Services","3.2","CHARGE NURSE - ADULT PROGRESSIVE CARE","Albuquerque, NM",
"Presbyterian Healthcare Services","3.2","RN - OPERATING ROOM","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","CHARGE NURSE - FAMILY BIRTHING CENTER","Santa Fe, NM",
"Presbyterian Healthcare Services","3.2","RN - MOM & BABY CARE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","CHARGE NURSE - EMERGENCY DEPARTMENT - PRESBYTERIAN HOSPITAL","Albuquerque, NM","$45k-$113k"
"Presbyterian Healthcare Services","3.2","RN - SHORT TERM CARE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - NICU","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","CHARGE RN-FAMILY BIRTH-SGH - FAMILY BIRTH CENTER","Socorro, NM",
"Presbyterian Healthcare Services","3.2","RN - GI LAB - WESTSIDE","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN- HOME HEALTH","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN - INPATIENT CARE","Tucumcari, NM",
"Presbyterian Healthcare Services","3.2","RN-FAMILY BIRTH-SGH - FAMILY BIRTH CENTER","Socorro, NM",
"Presbyterian Healthcare Services","3.2","RN - FAMILY BIRTH CENTER","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - RECOVERY ROOM","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - GENERAL SURGICAL UNIT","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - INPATIENT (MED/SURG/TELE) RUST MEDICAL CENTER - relocation to Albuquerque","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN PART-TIME - EMERGENCY ROOM SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - HOSPICE","Santa Fe, NM","$19-$33"
"Presbyterian Healthcare Services","3.2","RN - ATRISCO FAMILY PRACTICE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - GEN MED UNIT 1","Clovis, NM","$18-$31"
"Presbyterian Healthcare Services","3.2","RN - PEDIATRIC HEMATOLOGY ONCOLOGY","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - LABOR & DELIVERY - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN OUTPATIENT TEAM NURSE - OB/GYN","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN- PRN - URGENT CARE/ED - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN-PRMC - GEN MED UNIT 1","Clovis, NM","$18-$31"
"Presbyterian Healthcare Services","3.2","RN - CARDIAC PROGRESSIVE CARE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - OPERATING ROOM - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN- HOME HEALTH CASE MANAGER - HHC SKILLED NURSING","Tucumcari, NM",
"Presbyterian Healthcare Services","3.2","RN - GI LAB","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - OUTPATIENT - OB/GYN CLINIC","Espanola, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN-OUTPTPRMC - INTERNAL MED CLINIC","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN PART TIME - INPATIENT RUST MEDICAL CENTER","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - FAMILY BIRTHING CENTER - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - MEDICAL SPECIALTY UNIT - ONCOLOGY - NIGHT SHIFT","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - FAMILY BIRTHING - NIGHT SHIFT - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN PRN - ICU - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - KASEMAN ORTHOPEDICS","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - FAMILY BIRTHING CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN PART TIME - PEDIATRIC URGENT CARE","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - ICU - PRESBYTERIAN HOSPITAL","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN - INPATIENT PROGRESSIVE CARE- RUST MEDICAL CENTER","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - BEHAVIORAL HEALTH - ADULT PSYCHIATRY","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN PRN - I C U","Rio Rancho, NM","$19-$32"
"Presbyterian Healthcare Services","3.2","RN - INTERNAL AGENCY - NURSING ADMINISTRATION","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN PART-TIME - INTERNAL AGENCY - NURSING ADMINISTRATION","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN PRN - OPERATING ROOM","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - ONCOLOGY - RIO RANCHO INFUSION","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN-HOME HEALTH PRMC","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN PRN - GI LAB - WESTSIDE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN OUTPATIENT TEAM NURSE - PEDIATRIC CHRONIC CARE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN PRN - GI LAB","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - PARADISE FAMILY PRACTICE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - PRE OP / PACU - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN-PACU-PRMC - PREADMISSION CENTER","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN PRN PHS-PRMC - RECOVERY ROOM","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN - CARDIOTHORACIC SURGERY - PRESBYTERIAN HEART GROUP","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - I C U RUST MEDICAL CENTER","Rio Rancho, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN - SURGICAL CARE","Albuquerque, NM","$23-$40"
"BRP","3.8","Finance Analyst","Dallas, TX","$50k-$74k"
"Presbyterian Healthcare Services","3.2","RN - ICU","Albuquerque, NM","$21-$35"
"Presbyterian Healthcare Services","3.2","RN - EMERGENCY DEPARTMENT (EXPERIENCED)","Albuquerque, NM","$26-$41"
"Presbyterian Healthcare Services","3.2","RN PRN","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN-EMERGENCY ROOM","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","ASSISTANT NURSE MANAGER - EMERGENCY ROOM - RUST MEDICAL CENTER","Rio Rancho, NM","$65k-$98k"
"Presbyterian Healthcare Services","3.2","ASSISTANT NURSE MANAGER - ICU - RUST MEDICAL CENTER","Rio Rancho, NM","$65k-$98k"
"Presbyterian Healthcare Services","3.2","RN- HOSPICE","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN PRN HOSP-ICU-LCMC - I C U","Ruidoso, NM","$19-$33"
"Presbyterian Healthcare Services","3.2","RN - PALLIATIVE CARE","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN-OUTPT- INTERNAL MED CLINIC","Espanola, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - HOSPICE AND PALLIATIVE CARE","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN - INFECTION PREVENTIONIST - INFECTION CONTROL","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN-ER - EMERGENCY ROOM","Espanola, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN-HH-SGH - HHC SKILLED NURSING","Socorro, NM",
"Presbyterian Healthcare Services","3.2","RN-OUTPT-ORTHOPEDIC CLINIC-PEH - ORTHOPEDIC CLINIC","Espanola, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - EMERGENCY ROOM","Espanola, NM","$20-$33"
"Presbyterian Healthcare Services","3.2","RN - HOME HEALTH","Santa Fe, NM","$19-$33"
"Presbyterian Healthcare Services","3.2","RN - KASEMAN INTERNAL MEDICINE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - ONCOLOGY TRIAGE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - ICU - Santa Medical Center","Santa Fe, NM","$19-$33"
"Presbyterian Healthcare Services","3.2","RN PART-TIME - ADULT PROGRESSIVE CARE (MED/SURG/TELE)","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN PRN-PRMC - CARDIAC REHAB","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN - ADULT PROGRESSIVE CARE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN-PRMC - SURG","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN - INTERNAL MEDICINE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - INTERMEDIATE CARE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - SANTA FE MEDICAL CENTER - OUTPATIENT PEDIATRICS","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - ST MICHAEL'S FAMILY PRACTICE","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - PRN - RIO RANCHO ADULT HEALTH CLINIC","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN PART-TIME - EMERGENCY DEPARTMENT","Albuquerque, NM","$22-$37"
"Sensata Technologies","3.3","Business Finance Analyst","Attleboro, MA","$49k-$73k"
"Positec","4.0","Finance Analyst","Charlotte, NC","$42k-$63k"
"Presbyterian Healthcare Services","3.2","RN - PMG SLEEP MEDICINE","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN-OUTPT-LCMC - WHITE MTN MEDICAL","Ruidoso, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN-OR-LCMC - OPERATING ROOM","Ruidoso, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - PULMONARY - KASEMAN HOSPITAL","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - HEART GROUP","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - INTERNAL RESOURCE POOL (CRITICAL CARE)","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN PRN RECOVERY ROOM","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN - SURGICAL FLOOR","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN-OUTPATIENT FAMILY PRACTICE CLINIC","Espanola, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - EMERGENCY DEPARTMENT - RUST MEDICAL CENTER","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - SURGICAL ORTHOPEDIC UNIT","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN PRN - ADULT PROGRESSIVE CARE (MED/SURG/TELE)","Rio Rancho, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN-HHC SKILLED NURSING","Clovis, NM","$19-$34"
"Presbyterian Healthcare Services","3.2","RN PRN - EMERGENCY DEPARTMENT - SFMC","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN PRN - EMERGENCY DEPARTMENT - KASEMAN","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - ADULT PROGRESSIVE CARE (MED/SURG/TELE)","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - ADULT PROGRESSIVE CARE (MED/SURG/CARDIAC)","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN PRN HOSP-LCMC - SURG/NURSING","Ruidoso, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN PRN - LABOR & DELIVERY - NIGHT SHIFT - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","REGISTERED NURSE - CLINICAL FLOAT POOL","Albuquerque, NM","$23-$40"
"Presbyterian Healthcare Services","3.2","RN - SURGERY PASS - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN Labor & Delivery/Recovery/Postpartum","Espanola, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - INTERNAL RESOURCE POOL - CRITICAL CARE","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN - HOSPICE & HOME HEALTH","Santa Fe, NM","$19-$33"
"Presbyterian Healthcare Services","3.2","RN - HOSPICE AFTER HOURS","Santa Fe, NM","$19-$33"
"Presbyterian Healthcare Services","3.2","RN - LABOR & DELIVERY - SANTA FE - NIGHT SHIFT","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - PRE-OP/RECOVERY ROOM - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - EMERGENCY DEPARTMENT / URGENT CARE (PASEO)","Albuquerque, NM","$22-$37"
"Presbyterian Healthcare Services","3.2","RN PRN - OUTPATIENT TEAM NURSE - ORTHOPEDICS- SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Presbyterian Healthcare Services","3.2","RN - EMERGENCY DEPARTMENT - SANTA FE MEDICAL CENTER","Santa Fe, NM","$21-$36"
"Nu Skin","3.7","Finance Business Analyst","Provo, UT","$44k-$71k"
"R+L Global Logistics","3.8","Administrative Assistant - Finance","Ocala, FL","$28k-$40k"
"Bank of the West","2.6","IT Development Manager – Risk, Finance, and Treasury Regulatory Reporting","San Ramon, CA","$109k-$156k"
"Morgan Automotive Group","4.3","Kia of Columbia Finance Director - Manager","Columbia, MO","$58k-$140k"
"CO-OP Financial Services","3.4","Senior Financial Analyst","Des Moines, IA","$65k-$97k"
"Continental Properties Company, Inc.","4.0","Finance Director","Menomonee Falls, WI","$104k-$156k"
"Brown’s Shoe Fit Co.","4.0","Assistant Retail Store Manager","Worthington, MN","$27k-$42k"
"Mattress World NorthWest","3.0","Retail Sales Associate","Clackamas, OR",
"Beacon Resources","4.4","FP&A Manager","Century City, CA",
"Rush Enterprises","2.8","Parts Accounts Specialist - Call Center","New Braunfels, TX","$29k-$47k"
"Young Survival Coalition","3.3","Senior Finance Manager","New York, NY","$68k-$98k"
"Bober Markey Fedorovich and Company","4.2","Manager - Transaction Advisory Services","Akron, OH","$79k-$116k"
"Levy Restaurant","3.6","Accounting / Finance Manager","Chicago, IL","$69k-$97k"
"Society Insurance","3.4","Intern Property/Auto/Liability Claims","Fond du Lac, WI",
"US Auto Sales","3.1","Accountant","Duluth, GA","$37k-$57k"
"Rush Enterprises","2.8","All Makes Parts Manager","Ashland, VA",
"Standard Process","2.8","Staff Accountant","Palmyra, WI",
"Allegacy Federal Credit Union","3.3","Senior Financial Analyst","Winston-Salem, NC","$45k-$67k"
"Nelson and Nelson Chiropractic Centers",,"Chiropractor","Hope Mills, NC","$60k-$80k"
"Videojet Technologies","3.2","Senior Financial Analyst","Wood Dale, IL","$60k-$88k"
