"Company","Rating","Title","Location","Salary"
"Hire Resolve","3.1","Civil Engineer","Dallas, TX",
"Liugong Machinery","3.3","Battery System Expert","Kansas City, MO",
"Pyka","5.0","Senior Composite Technician","Oakland, CA",
"M Bar C Construction","3.2","Estimator Design Engineer","San Marcos, CA",
"Turbonomic","4.4","Technical Support Engineer","White Plains, NY","$52k-$77k"
"Qualcomm","3.8","Software Engineer - Camera","San Diego, CA","$87k-$124k"
"Atlantic City Linen Supply, LLC",,"Chief Engineer","Atlantic City, NJ",
"Richland Engineering Limited",,"SURVEYING POSITION","Mansfield, OH",
"Concept Technology Inc.","4.4","Project Engineer","Nashville, TN","$44k-$68k"
"Verizon","3.6","Project Manager Fiber Engineering","Silver Spring, MD","$118k-$156k"
"Avalign Thortex",,"Manufacturing Engineer","Portland, OR",
"Skyhook","3.5","Sales Engineer","Boston, MA","$66k-$101k"
"Therma-Stor","3.2","Sales Engineer","Remote",
"Hire Resolve","3.1","Senior Civil Engineer (Mining)","Denver, CO",
"LFI Inc.",,"Manufacturing Engineer","Smithfield, RI","$80k-$100k"
"LifeLens Technologies, LLC.",,"Firmware Development and Test Engineer","Warminster, PA",
"Hire Resolve","3.1","Project Civil Engineer – Mining","Denver, CO",
"CRS Reprocessing Services",,"Sales Engineer","Louisville, KY",
"Midwest Engineering & Testing Corporation",,"Field and Laboratory Engineering Technicians","Oklahoma City, OK",
"Schweitzer Engineering Laboratories, Inc","3.9","Electrical Engineering Project Manager","Minneapolis, MN","$69k-$104k"
"Brown Pelican WiFi",,"Event WiFi Engineer","San Francisco, CA",
"Sheathing Technologies, Inc",,"Electrical Engineer","Morgan Hill, CA",
"EkkoNet Telecom LLC",,"Telecom Network Infrastructure Design Engineer","Remote",
"Hire Resolve","3.1","Civil Designer Engineer","Charlotte, NC",
"4G Clinical",,"Software Quality Engineering Lead","Wellesley Hills, MA",
"Konkus Corporation",,"Construction Project Manager/Engineer","Branchburg, NJ","$75k-$100k"
"Computer Associates, Inc.","3.4","Consultant Software Engineer","Smithfield, RI","$73k-$101k"
"Magellan Concrete Structures Corp",,"Professional Engineer / Construction Project Manager","Brooklyn, NY","$80k-$100k"
"Staples Construction","4.7","Construction Project Superintendent","Ventura, CA",
"PMM Companies",,"Lead Engineer","Washington, DC",
"Hire Resolve","3.1","Senior Water Resources Engineer/Project Manager","West Palm Beach, FL",
"Drōv Technologies",,"Embedded Software Engineer","Oklahoma City, OK",
"Hire Resolve","3.1","Forensic Structural Engineer","Boston, MA",
"J-U-B Engineers","4.0","Professional Engineer","Twin Falls, ID","$85k-$120k"
"Kythera",,"Optimization Engineer","Bethesda, MD",
"Liugong Machinery","3.3","Electric Drive Expert","Kansas City, MO",
"AeroVironment","3.7","Product Engineer I","Simi Valley, CA","$69k-$95k"
"Exemplis","3.7","Engineer, Manufacturing","Buena Park, CA","$65k-$92k"
"Haven Agency","3.4","Senior Back End Web Developer (Engineer)","Ontario, CA",
"ATCO Communications Services, LLC",,"Senior Outside Plant (OSP) Telecom Engineer","Elk Grove, CA","$30-$40"
"Ecosystems","4.7","Value Engineer","McLean, VA","$80k-$150k"
"ISPA","3.3","Aircraft Maintenance Support Engineer-Technical Writer","Marietta, GA","$55k-$65k"
"Patrick & Associates, Inc.",,"Civil Engineering Technician","Conyers, GA",
"American Structurepoint","3.4","Project Engineer","Indianapolis, IN","$58k-$79k"
"Major Tool & Machine","3.8","Process Engineer","Indianapolis, IN","$49k-$92k"
"Hire Resolve","3.1","Senior Civil Engineer","Oakland, CA",
"Paragon Structural Engineering","5.0","Forensic Structural Engineer","Plano, TX",
"Hubbell, Roth & Clak Inc.",,"Civil Project Engineer","Bloomfield Hills, MI",
"Hire Resolve","3.1","Mechanical Engineer","New York, NY",
"Kjeldsen, Sinnock & Neudeck, Inc.","5.0","Associate Engineer Water/Wastewater","West Sacramento, CA",
"Path Forward IT","3.7","On-site Support Engineer","Akron, OH","$42k-$67k"
"VOXX International","3.0","Acoustics Engineer","Indianapolis, IN","$49k-$77k"
"Chicago Heights Glass, Inc.","3.7","Senior Project Engineer","South Holland, IL",
"igus Inc.","3.7","Cable Sales Engineer","Rumford, RI","$55k-$83k"
"Minot Enterprises",,"Senior Control Systems Engineer","Los Angeles, CA","$100k-$140k"
"Firsching, Marstiller, Rusbarsky & Wolf Engineering, Inc.",,"HVAC Mechanical Designer","Forest Hills, Allegheny, PA",
"Evergreen Cooperative",,"Maintenance Technician","Cleveland, OH","$18-$21"
"Sonic Corporation",,"3D AutoCAD Engineer","Stratford, CT",
"Hecla Lucky Friday Mine",,"Remote Vein Miner Electrical Supervisor","Mullan, ID",
"Liugong Machinery","3.3","Drivetrain Engineer","Kansas City, MO",
"Buffalo Thunder Resort & Casino","3.6","Maintenance Engineer","Santa Fe, NM","$35k-$60k"
"Global Industrial MRO Procurement & Services",,"Senior UI Engineer","New York, NY",
"Hire Resolve","3.1","Civil Design Engineer","Port Saint Lucie, FL",
"J-U-B Engineers","4.0","Water/Wastewater Engineer","Fort Collins, CO","$72k-$75k"
"City of Bainbridge, GA",,"City Engineer","Bainbridge, GA","$93k-$96k"
"Hire Resolve","3.1","Transportation Engineer","Philadelphia, PA",
"Concept Technology Inc.","4.4","Systems Engineer","Nashville, TN","$40k-$81k"
"LifeOmic","5.0","UI Engineer","Raleigh, NC",
"Workday","3.9","Production Reliability Engineer - Returnship Opportunity","Pleasanton, CA","$109k-$145k"
"PwC","3.8","Data Engineer (PwC Labs)","Tampa, FL","$81k-$109k"
"FreeAgent CRM","4.8","Senior Sales Engineer","Oakland, CA",
"Liugong Machinery","3.3","Cooling System Engineer","Kansas City, MO",
"MedTouch","3.5","Principal Sitecore Engineer (Remote)","Somerville, MA",
"Neopost USA","3.3","Software Integration Engineer","Brookfield, WI","$62k-$94k"
"Tech USA","2.8","Lead Software Development Engineer in Test (SDET) LEAD","Rockville, MD",
"Mark Goodwin & Associates, PA",,"Civil Engineer","Albuquerque, NM",
"SREE Hotels","3.3","Maintenance Engineer","Raleigh, NC","$31k-$53k"
"Liugong Machinery Co., Ltd.","3.3","Hydraulic Engineer","Kansas City, MO",
"John Davenport Engineering","3.3","Roadway Design Project Engineer","Raleigh, NC",
"Kintone","4.5","Sales Engineer - Chicago","Remote",
"Insyde Software","3.0","BIOS Firmware Engineer (Onsite Customer","Austin, TX",
"BullsEye Telecom","2.9","Service Installation Engineer - Digital Services","Southfield, MI",
"Stratus Technologies","3.1","Senior Field/ Customer Support Engineer","United States",
"ProSpring Staffing",,"DB Technical Support Engineer","Remote",
"Kimley-Horn and Associates","3.9","Project Manager/Engineer - Water/Wastewater","Newport News, VA","$91k-$123k"
"Bierlein-Trombley Technology",,"Senior Server Engineer","Bay City, MI",
"VeriSilicon","4.2","Sr. ASIC Design Engineer","Alviso, CA",
"PCB Piezotronics","3.4","Manufacturing Engineer","Depew, NY","$44k-$66k"
"Liugong Machinery","3.3","Cab Engineer","Kansas City, MO",
"Boston Sand & Gravel",,"Environmental Engineer","Charlestown, MA",
"KROHNE, Inc.",,"Inside Sales Representative-Entry Level engineering graduates welcome to apply","Beverly, MA",
"Essex Industries","3.3","Lean Manufacturing Engineer (Contract)","Saint Louis, MO",
"OpenClinica LLC","4.9","Senior Javascript Engineer","Waltham, MA","$110k-$155k"
"Shive-Hattery","4.0","Mechanical Engineer 1","Time, IL",
"Civil Consulting Group, PLLC",,"Transportation Design Engineer","McKinney, TX",
"EAE USA INC",,"Sales Engineer","Atlanta, GA",
"R&M Consultants","5.0","Staff Civil Engineer (Airports)","Anchorage, AK","$63k-$80k"
"Hire Resolve","3.1","Structural Design Engineer","Los Angeles, CA",
"Momentive Performance Materials","3.7","Project Engineer","Waterford, NY","$71k-$91k"
"Lendio","4.9","API Support Engineer","Lehi, UT","$30k-$46k"
"Recruit Up, LLC",,"Senior Power Systems Engineer","Pittsburgh, PA",
"Kythera",,"Senior Systems Engineer","Bethesda, MD",
"City Of Falls Church Virginia","4.2","Stormwater Sr. Engineer (Stormwater / Sanitary Sewer)","Falls Church, VA",
"Hire Resolve","3.1","Roadway/Highway Design Engineer","Portland, OR",
"Hire Resolve","3.1","Structural Bridge Engineer","Raleigh, NC",
"Applied Mechanical Sales, Inc.",,"Field Sales Engineer (Commercial Boilers)","Elmhurst, IL","$70k-$90k"
"LEGOLAND California","3.9","Rides Mechanical / Electrical Maintenance Technician (Rides Engineer)","Carlsbad, CA",
"Momentum (IN)",,"Sr. React JavaScript Engineer","Fishers, IN","$80k-$130k"
"Hire Resolve","3.1","Geotechnical Staff Engineer","Seattle, WA",
"TAIT & Associates","4.6","Project Engineer","Norco, CA","$53k-$71k"
"Trisept Solutions","3.4","Server Engineer/Specialist","Milwaukee, WI","$58k-$84k"
"Codecademy","3.3","Senior Backend Engineer: Learner Experience Team","New York, NY","$133k-$170k"
"Hire Resolve","3.1","Assistant Civil Engineer","Denver, CO",
"Essex Industries","3.3","Aircraft Platform Control Product Design & Development Engineer","Saint Louis, MO",
"Triumph Group","2.8","Senior Applications Analyst/Engineer","Arlington, TX","$91k-$129k"
"Aurora Flight Sciences","4.1","Industrial Robotics Engineer","Bridgeport, WV","$45k-$87k"
"Hire Resolve","3.1","Structural Engineer","Dallas, TX",
"Hire Resolve","3.1","Principal Geotechnical Engineer","Anaheim, CA",
"Keystone Experts and Engineers LLC",,"Managing Engineer - Civil/Structural, Forensic","Castle Rock, CO",
"C.E. Floyd Company","4.6","Project Engineer - commercial construction","Middletown, CT",
"Tokenvault LLC",,"Senior Principal HSM Engineer","San Francisco, CA",
"TPI Composites","3.4","Sr. Quality Engineer","Warren, RI","$64k-$98k"
"Twin Vee PowerCats",,"CAD/CAM Engineer & 5-Axis Operator","Fort Pierce, FL",
"Radisson Hotel Group","2.8","Maintenance Engineer","Bloomington, MN","$39k-$65k"
"Kintone","4.5","Sales Engineer - NYC/NJ","Remote",
"Ampirical Solutions, LLC","4.3","Transmission & Distribution Line Engineer","Mandeville, LA",
"HC Technologies","3.7","Software Engineer, Senior - C++ (CoreDev)","New York, NY",
"Carmex Precision Tools LLC",,"Sales Engineer","Chicago, IL",
"Adobe","4.1","Site Reliability Engineer Intern - Cloud Technology Organization","San Jose, CA",
"Adobe","4.1","Cloud Software Development Engineer","San Jose, CA","$118k-$154k"
"Presbyterian Healthcare Services","3.2","PROCESS ENGINEER - PROCESS EXCELLENCE","Albuquerque, NM",
"EkkoNet Telecom LLC",,"Telecomm Network Infrastructure Site Survey Engineer","Remote",
"tokenvault LLC",,"Senior Principal Engineer Identity, Authentication and App Sec","San Francisco, CA",
"Pepper Construction","4.2","Virtual Construction Engineer","Indianapolis, IN","$61k-$86k"
"Shickel Corporation","4.2","Project Manager / Engineer","Bridgewater, VA",
"root9B, LLC","3.2","Product Support Engineer","United States",
"Kimley-Horn and Associates","3.9","Senior Transportation Engineer","Reston, VA","$91k-$116k"
"MD Solutions","3.9","Senior Software Engineer","Cape Coral, FL",
"Hire Resolve","3.1","Water Resources/Drainage Engineer","Denver, CO",
"Lease Crutcher Lewis","4.0","Project Engineer","Portland, OR","$56k-$74k"
"Denny's","3.1","IT Sr Engineer, Service Applications","Spartanburg, SC","$59k-$95k"
"My Job Tank","3.0","Flight Controls Software Engineer","Santa Clara, CA","$180k-$200k"
"Richland Engineering Limited",,"Civil EngineerTransportation and Structural Engineer. BS/MS in Civil Engineering, Ohio E.I.T. or P.E. and valid Driver License are required. The position will involve all aspects of transportation pro","Mansfield, OH",
"Hire Resolve","3.1","Land Development Project Engineer","Miami, FL",
"Linde Group","4.2","Senior Mac IT Engineer (East Bay)","Emeryville, CA","$75k-$121k"
"Remedial Construction Services, L.P. (RECON)","3.5","Project Engineer","Houston, TX","$55k-$71k"
"ELLISON TECHNOLOGIES, INC.","4.0","CNC Sales Engineer - Western Tennessee","Stanton, TN","$52k-$81k"
"Strivve Inc.",,"Senior Software Engineer","Seattle, WA",
"Kittyhawk.io",,"Senior Backend Engineer","San Francisco, CA",
"TPI Composites","3.4","Sr. Composite Design Engineer","Warren, RI","$80k-$104k"
"Hire Resolve","3.1","Transportation Project Engineer","Miami, FL",
"SREE Hotels","3.3","Hotel Engineer 2","Matthews, NC",
"Sands Decker CPS, LLC.",,"Civil Engineer / Design CAD Technician","Columbus, OH",
"Build.com","4.0","Site Reliability Engineer","Chico, CA",
"R&M Consultants","5.0","Senior Structural Engineer","Anchorage, AK","$105k-$150k"
"Hire Resolve","3.1","Civil Engineer (Land Development)","Minneapolis, MN",
"Advanced Airfoil Components, Inc.",,"Castings (IGT) Parts Engineer, Lead","Apollo Beach, FL",
"N-ask","4.2","Digital Signal Processing Engineer (TS/SCI Security Clearance Required)","Kettering, OH",
"2nd Watch, Inc.","4.1","Cloud Operations Engineer - ( Tier 1 - Night/ Grave Shift)","Durham, NC","$36k-$56k"
"Team Focus Insurance Group","2.7","Senior Cloud Network Security Engineer","Sunrise, FL","$80k-$126k"
"Andiamo Partners","4.3","VP, Lead DevOps Engineer for Cloud/Azure Automation","Dallas, TX",
"Adobe","4.1","Senior Site Reliability Engineer – Adobe Campaign","San Francisco, CA","$152k-$226k"
"Hire Resolve","3.1","Senior Structural Design Engineer","New York, NY",
"Hire Resolve","3.1","Civil Engineer (Site Design)","Austin, TX",
"Hire Resolve","3.1","Senior Water Engineer","New York, NY",
"Andiamo Partners","4.3","Full-Stack Engineer for Real-Estate Startup","Seattle, WA",
"Marchex","3.8","Senior Software Development Engineer","Wichita, KS",
"Andiamo Partners","4.3","SQL Server Database Engineer for $50 Billion Peer to Peer FinTech","Dallas, TX",
"Groq, Inc.",,"Senior Haskell Compiler Engineer","Mountain View, CA","$140k-$190k"
"divvyDOSE","3.7","devOPs, Site Reliability Engineer","Chicago, IL","$70k-$109k"
"CaptiveAire","4.1","Technical Sales and Field Service Engineer","Atlanta, GA","$54k-$76k"
"Hire Resolve","3.1","Civil Project Engineer","Washington, DC",
"Hire Resolve","3.1","Senior Structural Engineer","Columbus, OH",
"Andiamo Partners","4.3","Senior C++ Application Middleware Engineer (BAS) for Top FinTech PaaS","New York, NY",
"NIKA Solutions","3.2","Senior Mechanical Engineer","San Antonio, TX","$40k-$108k"
"LeMessurier Consultants","5.0","Senior Structural Engineer & Project Manager","Boston, MA","$30-$50"
"Bridgeline Digital","3.1",".NET Software Engineer","Woodbury, NY","$64k-$113k"
"Mazzetti","3.8","Senior Mechanical Engineer","Eugene, OR","$69k-$173k"
"LifeOmic","5.0","Senior Software Engineer","Raleigh, NC",
"Bridgeline Digital","3.1","Sr. Java/APEX Software Engineer","Woodbury, NY","$61k-$107k"
"Michael K. Nunley & Associates, Inc.","4.8","Senior Civil Engineer","Bakersfield, CA",
"Computer Services","3.9","Senior Software Engineer - Regulatory Compliance Group","Charlotte, NC","$63k-$109k"
"Andiamo Partners","4.3","iOS Engineer for The Leading Mobile Bank Innovator","New York, NY",
"Andiamo Partners","4.3","Consultant - Front End Web Engineer (Angular), Leading FinTech PaaS","New York, NY",
"StockX","4.1","Senior Software Engineer - Relocation to Detroit","New York, NY","$77k-$133k"
"Andiamo Partners","4.3","Front End Engineer (React.js) for Disruptive Travel Ecommerce","Boston, MA",
"Translate Bio","5.0","Sr. Scientist/Sr Engineer Technical Transfer - Lexington, MA, US","Lexington, MA",
"Andiamo Partners","4.3","Lead Cloud Reliability Engineer for AI Company","San Francisco, CA",
"tokenvault LLC",,"Senior Principal Engineer Network Security","San Francisco, CA",
"Andiamo Partners","4.3","Senior DevOps Engineer for Cloud/Azure Automation","Dallas, TX",
"SK hynix America","3.5","Senior Engineer-SSD Level of NAND Characterization","San Jose, CA",
"Andiamo Partners","4.3","Senior Devops Engineer- Disruption Lab","Westport, CT",
"Futuretech Staffing","5.0","Manufacturing Quality Engineer","Ehrenberg, AZ",
"Datron World Communications","3.0","Senior Test Engineer","Vista, CA","$70k-$90k"
"SRP","4.2","Engineer Senior - Mechanical","Phoenix, AZ","$61k-$151k"
"Brightfield Group",,"Senior Lead Engineer","Chicago, IL",
"Children's of Alabama","4.0","Technical Engineer II","Birmingham, AL","$38k-$61k"
"SKF USA","3.7","Quality Engineer","Sumter, SC","$43k-$68k"
"Exact Sciences Corporation","4.0","Laboratory Process Engineer","Madison, WI",
"StreetShares","3.9","Fullstack (Python) Engineer","Reston, VA",
"Financial Partners Credit Union","3.0","Desktop Engineer","Downey, CA","$38k-$63k"
"TICO","3.6","Mechanical Engineer","Ridgeland, SC",
"Donatelle","3.5","Manufacturing Engineer","New Brighton, MN","$51k-$74k"
"Cupertino Electric, Inc.","4.2","Project Engineer","San Francisco, CA","$60k-$76k"
"Mercury Marine","3.8","Quality Engineer","Fond du Lac, WI","$83k-$125k"
"CHRISTUS Health","3.4","Performance Improvement Engineer I","Irving, TX",
"Star Cutter Company","2.2","Applications Engineer","Elk Rapids, MI",
"Kimley-Horn and Associates","3.9","Transportation Planner/Engineer","San Jose, CA","$65k-$93k"
"Metlife","3.6","Application Security Engineer","Cary, NC","$72k-$96k"
"Mars, Incorporated","3.9","Process Engineer","Franklin, TN","$54k-$82k"
"Xantrion","4.6","IT Support Engineer","Oakland, CA","$55k-$65k"
"2nd Watch, Inc.","4.1","DevOps Engineer, Cloud","United States",
"Carpenter Technology Corporation","2.6","NDT Engineer - ASNT Level III","Latrobe, PA",
"Otter Tail Power","4.3","Engineer Intern, Coyote Station","Beulah, ND",
"GlobalSign","3.6","Pre Sales & Field Application Engineer","Portsmouth, NH","$62k-$98k"
"ELLISON TECHNOLOGIES, INC.","4.0","Territory Sales Engineer","Saint Charles, MO","$51k-$78k"
"Southland Industries","3.4","Project Engineer I","Raleigh, NC","$50k-$64k"
"TQS Integration Ltd","2.4","OSI PI Software Engineer","Boston, MA",
"SRP","4.2","Principal Engineer - Transmission Analysis","Phoenix, AZ",
"Westwood Professional Services","4.3","Project Engineer","Phoenix, AZ","$59k-$79k"
"Donatelle Plastics","3.5","Project Engineer","New Brighton, MN","$70k-$93k"
"ISG Technology, LLC","3.5","Systems Engineer","Overland Park, KS","$39k-$78k"
"Pike Electric","3.8","Engineer II - Distribution Power line design experience","Fort Lauderdale, FL",
"Attainment Company","5.0","Software Engineering Manager","Verona, WI",
"Verizon","3.6","Senior Device Security Engineer","Bedminster, NJ","$87k-$115k"
"TEECOM","4.2","Telecom Engineer - Structured Cabling Systems","Portland, OR","$62k-$91k"
"H2M","4.0","Resident Engineer","Melville, NY","$88k-$95k"
"Groq",,"Senior Compiler Engineer","Mountain View, CA","$140k-$190k"
"Aurora Flight Sciences","4.1","Aerospace Manufacturing Engineer","Columbus, MS","$48k-$75k"
"SCS Engineers","4.1","Project Engineer","Wichita, KS","$57k-$76k"
"Hire Resolve","3.1","Geotechnical Engineer","Philadelphia, PA",
"Civil Consulting Group, PLLC",,"Transportation Engineer, Civil","Dallas, TX",
"Business.com","4.2","Full Stack Engineer","Waltham, MA",
"Prismview, A Samsung Company","3.2","Mechanical Designer Engineer","Logan, UT","$43k-$60k"
"My Job Tank","3.0","Solutions Engineer","San Mateo, CA",
"Nextiva","4.5","Senior Middleware Engineer","Scottsdale, AZ","$83k-$119k"
"ClearEdge IT Solutions","4.1","Software Engineer - Full Stack Application Development","Annapolis Junction, MD","$67k-$124k"
"Nortek","4.5","Hardware and firmware engineers for underwater robotic project","Boston, MA","$80k-$150k"
"PCI","4.7","Test Engineer IV","Fort Meade, MD","$85k-$110k"
"ID Technologies (VA)","5.0","Field Networking Engineer","Clarksburg, WV",
"SareKon Inc",,"Embedded Software Engineer","Rochester, NY",
"Hunter Engineering Company","3.8","Mechanical Design Engineer- Machine Design","Bridgeton, MO","$59k-$81k"
"TEK STAFF USA",,"Mechanical Design Engineer","Rochester, NY",
"The Methodist Hospitals","3.4","ENGINEER III - Full Time","Gary, IN","$64k-$94k"
"Dasan Zhone Solutions","3.0","Senior Software Development VoIP Engineer","Seminole, FL",
"West Liberty Foods","2.9","Project Engineer","West Liberty, IA","$58k-$75k"
"Owens Corning","3.6","Applications Engineer, Geosynthetics","Granville, OH","$67k-$101k"
"Tessenderlo Kerley, Inc.","3.5","Mechanical Engineer II","Phoenix, AZ",
"Ruby Receptionists","3.1","Site Reliability Engineer / DevOps","Portland, OR","$86k-$128k"
"Lex Products","2.9","Mechanical Design Engineer-FL","Davie, FL","$36k-$53k"
"Oglethorpe Power","3.9","Electrical Engineer - Chattahoochee Energy Facility","Franklin, GA","$74k-$113k"
"Avi Networks","4.7","System Reliability Engineer","Raleigh, NC","$62k-$84k"
"ISG Technology, LLC","3.5","Sr. Systems Engineer","Overland Park, KS","$51k-$101k"
"Denny's","3.1","IT Software Engineer","Spartanburg, SC","$61k-$113k"
"Welbilt","2.8","Staff Reliability Engineer","Sellersburg, IN","$69k-$91k"
"AppDynamics","4.5","AppD Software Engineer III, C++","San Francisco, CA","$118k-$188k"
"Mars, Incorporated","3.9","Industrial Engineer","Franklin, TN","$57k-$78k"
"Nextiva","4.5","Regional Solutions Engineer, DFW","Dallas, TX",
"Aurora Flight Sciences","4.1","Manufacturing Technology Engineer","Bridgeport, WV","$57k-$87k"
"Schireson","4.1","Site Reliability Engineer","New York, NY",
"Gerlitz Engineering Consultants",,"Civil Engineer","Grants Pass, OR",
"Pegasystems","3.7","Principal Software Support Engineer (11am-8pm)","Bedford, NH","$100k-$145k"
"Workday","3.9","Software Application Engineer III - Supply Chain Development","Pleasanton, CA","$99k-$129k"
"J.B. Hunt","3.5","Sr. Software Engineer","Lowell, AR","$69k-$120k"
"Cengage","4.0","Sr Software Engineer","Farmington Hills, MI","$74k-$126k"
"Prime Electric","4.0","Project Engineer","San Jose, CA","$61k-$85k"
"Structured Communications","3.6","Systems Engineer – Tier I (Help Desk)","Bellevue, WA",
"Verizon","3.6","Principal Cloud Software Engineer","Waltham, MA","$114k-$188k"
"Comet Group","2.8","Field Service Engineer","Hudson, OH",
"Bel Brands USA","3.8","Factory Industrial Performance Manager (Manufacturing Engineer Manager)","Brookings, SD","$102k-$147k"
"Welbilt","2.8","Senior Quality Engineer","Manitowoc, WI","$63k-$100k"
"Intelligent Medical Objects","4.1","SITE RELIABILITY ENGINEER (SRE)","Rosemont, IL","$76k-$115k"
"Dome Construction","4.0","Project Engineer","San Jose, CA","$67k-$88k"
"Austin Civil Engineering Inc",,"Civil Engineer, EIT","Austin, TX",
"Pike Electric","3.8","Engineer II - Distribution Power - west palm Beach","Fort Lauderdale, FL","$64k-$87k"
"T3W Business Solutions","3.7","Aerospace Engineer and Operations Technician","Nellis AFB, NV",
"Brinkmann Constructors","4.4","Project Engineer - Experienced","Kansas City, MO","$56k-$77k"
"SDI Structures",,"Senior Project Structural Engineer","Ann Arbor, MI",
"C3.ai","4.9","Performance Engineer","United States",
"Citrix","3.8","Senior Customer Success Engineer","Raleigh, NC","$97k-$144k"
"Telephonics","2.6","Senior Reliability Engineer","Farmingdale, NY","$112k-$148k"
"Empirix","2.7","Software Engineer - CCA","Billerica, MA","$73k-$100k"
"Cetecom","3.6","Audio Test Engineer","Milpitas, CA","$65k-$91k"
"Oglethorpe Power","3.9","Senior Electrical Engineer","Tucker, GA","$93k-$140k"
"RenPSG","2.5","Site Reliability Engineer","Indianapolis, IN",
