"Company","Rating","Title","Location","Salary"
"Furnishing Company",,"Marketing and Event Lead","Los Angeles, CA",
"Optymyze","3.3","Marketing Campaign Manager","Philadelphia, PA","$40k-$70k"
"Compass Holding","4.2","Marketing Manager","Clarendon Hills, IL",
"Institute for Humane Studies","2.7","Content Manager","Arlington, VA","$42k-$71k"
"American Classic Agency","4.2","Agency Sales Manager","Orlando, FL",
"Ballantines PR","3.8","Senior Account Director","New York, NY",
"The Jel Sert Company","3.8","Marketing Coordinator","West Chicago, IL",
"U.S. Cellular","3.4","Retail Marketing Manager","Chicago, IL","$75k-$112k"
"Cumulus Networks","4.6","Marketing Events Manager","Mountain View, CA","$74k-$110k"
"TSYS","3.2","Strategic Account Marketing Manager","San Mateo, CA","$70k-$105k"
"Cengage","4.0","Digital Marketing Specialist","Clifton Park, NY","$39k-$61k"
"Yummly","4.9","Lifecycle Marketing Manager","Palo Alto, CA","$62k-$95k"
"PCB Piezotronics","3.4","Marketing Manager","Depew, NY","$38k-$56k"
"CG Life","4.2","Account Manager","Chicago, IL",
"root9B, LLC","3.2","Marketing Strategist","Colorado Springs, CO","$44k-$73k"
"Lands' End","3.3","Direct Marketing Modeling Manager","Dodgeville, WI",
"Crisis Prevention Institute","3.6","Corporate Communications Manager","Milwaukee, WI","$31k-$57k"
"Cascade Management","3.5","Community Manager","Newberg, OR","$28k-$46k"
"Pushpay","4.0","Senior Manager, Digital Marketing","Redmond, WA","$69k-$110k"
"BidEase",,"Marketing manager","New York, NY","$55k-$70k"
"TeamSupport LLC","4.2","Sr. Marketing Manager (Demand Generation)","Dallas, TX",
"Oden Technologies","5.0","Digital Marketing Manager","New York, NY",
"Schnitzer Steel","2.9","Digital Marketing Specialist Lead","Rancho Cordova, CA","$60k-$93k"
"Home Care, Inc",,"Regional Sales and Marketing Manager","Riverside, CA",
"Stirling Technologies",,"Account Director / Digital Agency (Marketing & Social Media)","Winchester, MA",
"Animoto","4.2","Search Marketing Manager","New York, NY","$58k-$89k"
"Trans Ova Genetics","2.5","Regional Business Manager","Boonsboro, MD",
"Modaramo",,"Digital Marketing Manager","Port Washington, NY",
"Caldera Medical","4.7","Creative Marketing Manager","Agoura Hills, CA","$56k-$84k"
"Stonewall Farm",,"Event Sales and Business Development Manager","Keene, NH",
"Kimpton Hotels & Restaurants","4.4","Director of Sales and Marketing","New Orleans, LA","$51k-$113k"
"Pulse Secure","3.5","Field & Channel Marketing Manager (Americas)","San Jose, CA","$103k-$151k"
"Viral Launch","4.1","Digital Marketing Manager - Demand Generation","Indianapolis, IN",
"Adaptiva","3.6","Marketing Events Manager","Kirkland, WA",
"CSAA Insurance Group","3.4","Marketing Program Manager","Walnut Creek, CA",
"A Place for Mom","3.3","Affiliate Marketing Manager","Seattle, WA","$49k-$75k"
"Alpine Home Air Products","4.1","Digital Marketing Director","Chicago, IL",
"The Bonadio Group","3.6","Segment Marketing Manager","Syracuse, NY","$50k-$77k"
"Lucid Motors","3.8","Social Media Marketing Program Manager","Newark, CA","$78k-$124k"
"Edifecs","4.5","Product Marketing Manager","United States",
"Advancial Federal Credit Union","4.8","Secondary Marketing Manager","Dallas, TX","$34k-$52k"
"SharpSpring","4.1","Marketing Campaign Manager","Gainesville, FL","$28k-$47k"
"Nutramax","3.3","Brand Manager","Lancaster, SC","$84k-$132k"
"Kimpton Hotels & Restaurants","4.4","Director of Sales & Marketing","Savannah, GA","$46k-$107k"
"The RealReal","2.8","Luxury Manager - Jacksonville, FL","Jacksonville, FL",
"ProSites","3.4","SEO MANAGER","Temecula, CA","$37k-$64k"
"Truckstop.com","3.9","Product Marketing Manager","Boise, ID","$68k-$96k"
"Shamir Insight","3.3","Director of Marketing","San Diego, CA",
"BASIS.ed","3.6","Marketing Manager","Scottsdale, AZ","$42k-$66k"
"App Annie","4.2","Product Marketing Manager - Analytics Products","San Francisco, CA","$98k-$134k"
"Kaufman Financial Group","3.6","Email Marketing Manager","Farmington Hills, MI",
"Mailgun Technologies","4.8","Product Marketing Manager","San Antonio, TX",
"Pushpay","4.0","Marketing Campaign Manager - Mid Market","Redmond, WA",
"DentalPlans.com","3.8","Email Marketing Manager","Plantation, FL","$55k-$80k"
"Nutramax","3.3","International Marketing Manager","Lancaster, SC","$73k-$110k"
"ShopRunner","3.0","Senior Product Marketing Manager","New York, NY","$80k-$115k"
"Big Leap","4.5","SEO & Content Marketing Manager (SLC)","Salt Lake City, UT","$34k-$51k"
"UniCarriers Americas Corporation","3.8","National Account Manager","Marengo, IL",
"Tenable","3.4","Content Marketing Manager","McLean, VA","$100k-$146k"
"DreamBox Learning","3.8","Regional Marketing Manager (West)","Bellevue, WA","$42k-$78k"
"A-Max Insurance Services","3.6","Marketing - Field Marketing Manager","Dallas, TX","$41k-$69k"
"Pindrop","3.9","Product Marketing Manager","Atlanta, GA","$98k-$137k"
"GroundUP Music",,"Label Manager / Marketing Coordinator","Remote",
"ABC Plumbing Heating Cooling and Electric Inc","4.2","Marketing Coordinator","Arlington Heights, IL",
"Emergent Software","4.6","Digital Marketing Specialist","Edina, MN",
"DreamBox Learning","3.8","Website Marketing Manager","Bellevue, WA","$55k-$85k"
"Phoenix Children's Hospital","4.2","Marketing Manager","Phoenix, AZ","$68k-$102k"
"Blue Buffalo","4.0","Channel Marketing Manager, Walmart and Club","Bentonville, AR","$45k-$70k"
"CAS","2.9","Solutions Marketing Manager","Columbus, OH","$61k-$93k"
"Lands' End","3.3","Global Brand Marketing Manager","Dodgeville, WI","$56k-$84k"
"Capital One","3.8","Manager, Digital Product Management","Richmond, VA","$85k-$128k"
"Pushpay","4.0","Product Marketing Manager","Redmond, WA",
"Tokuyama Dental","5.0","Product Manager","Encinitas, CA",
"LAcarGUY","4.1","Business Manager","Manhattan Beach, CA","$44k-$77k"
"CARFAX","4.2","Product Marketing Manager","Washington, DC","$100k-$144k"
"Healthgrades","3.1","Marketing Automation Manager","United States",
"Foothills Insurance",,"Personal Lines Account Manager (Service and Sales)","Denver, CO","$35k-$65k"
"Transwest","2.7","RV Parts Manager","Belton, MO",
"LoanMe","2.9","AFFILIATE MARKETING MANAGER","Anaheim, CA","$47k-$73k"
"CPA Site Solutions","2.7","SEO MANAGER","Colchester, VT","$47k-$82k"
"Valant","3.2","Demand Generation Manager","Seattle, WA","$70k-$117k"
"Bankers Healthcare Group","4.6","Partnership Marketing Manager","New York, NY",
"Security Public Storage","4.0","Full-time Self-Storage Manager - Management Experience Required","Portland, OR",
"Genentech","3.9","Sr Marketing Manager","South San Francisco, CA","$143k-$204k"
"DineEquity","3.6","Digital Media Manager, Marketing","Glendale, CA","$62k-$96k"
"Glassdoor","4.1","B2C Engagement Marketing Manager","Mill Valley, CA","$92k-$115k"
"The Franklin Johnston Group","3.9","Leasing & Marketing Specialist - Hillside Senior","Gaithersburg, MD","$51k-$65k"
"MG Properties Group","4.0","Community Manager","Lancaster, CA","$37k-$56k"
"Fortera Federal Credit Union","4.6","Market Manager","Clarksville, TN",
"Jenzabar","3.8","Product Marketing Manager","Boston, MA","$60k-$86k"
"NetBrain Technologies","3.3","Field Marketing Manager, Public Sector","Washington, DC","$62k-$102k"
"Champion Teamwear","3.4","Marketing Manager - Printwear","Winston-Salem, NC","$56k-$83k"
"Clements Worldwide","3.2","Content Marketing Manager","Washington, DC","$46k-$72k"
"The Parts House","2.9","Market Manager","Jacksonville, FL","$32k-$54k"
"Mattress By Appointment","5.0","Sales Manager","Hartford, CT",
"Disruptive Advertising","4.6","Social Media/Digital Marketing Account Manager","Lindon, UT","$41k-$66k"
"Intelligent Medical Objects","4.1","Product Marketing Manager","Chicago, IL","$73k-$103k"
"Wirecard","3.5","Acquisition Marketing Manager","Conshohocken, PA","$48k-$74k"
"The Keri Shull Team","4.7","Social Media Manager","Arlington, VA",
"U.S. Cellular","3.4","Sr Product Marketing Manager","Chicago, IL","$105k-$148k"
"HP Inc.","4.0","Account Based Marketing Manager","Palo Alto, CA","$117k-$171k"
"Check Point Software Technologies","3.5","Product Marketing Manager-San Carlos, CA","San Carlos, CA","$98k-$136k"
"Boston Properties","3.8","Marketing Manager","Boston, MA","$78k-$117k"
"Advantage Media Group","2.5","Marketing Coordinator","Charleston, SC",
"Takeya USA","4.7","Product Marketing Manager","Costa Mesa, CA","$65k-$104k"
"APMEX","3.8","Lifecycle Marketing Manager","Oklahoma City, OK","$48k-$73k"
"SeraCare Life Sciences","2.6","Digital Marketing Manager","Cumberland Foreside, ME","$40k-$65k"
"Cascade Management","3.5","Temporary Assistant Community Manager","Rogue River, OR","$27k-$45k"
"Getaround","4.0","Marketing Manager","Boston, MA","$47k-$73k"
"The Job Window","3.8","Entry Level Marketing Manager Trainee","Macomb, MI",
"Varsity Tutors","4.2","Senior Marketing Manager (Acquisition Marketing)","Columbus, OH","$59k-$91k"
"Chef","3.8","Field Marketing Manager","Seattle, WA","$61k-$100k"
"GH Phipps Construction Companies","4.2","Marketing Research Manager","Greenwood Village, Arapahoe, CO","$67k-$99k"
"Next Level Acquisitions","2.5","Marketing Coordinator","Oklahoma City, OK",
"Nextiva","4.5","Field Marketing Manager (East)","Chicago, IL","$43k-$71k"
"Unanet","4.6","Product Marketing Manager","Washington, DC",
"Central Insurance Companies","4.5","Marketing Manager","Illinois",
"Benco Dental","3.4","Marketing Research Manager","Pittston, PA","$45k-$67k"
"Learning Sciences International","3.2","Field Marketing Manager (K-12 Education)","Lakes by the Bay, FL",
"UofL Physicians","3.9","Strategic Marketing and Communications Manager","Louisville, KY","$47k-$85k"
"Conviva","4.4","Sr Product Marketing Manager","Foster City, CA","$152k-$204k"
"Otak","3.7","Marketing Manager","Louisville, CO","$60k-$91k"
"New Western","4.6","Marketing Analytics Manager","Irving, TX","$89k-$123k"
"Crisis Prevention Institute","3.6","Marketing Director","Milwaukee, WI","$48k-$88k"
"MG Properties Group","4.0","Community Manager (Floating)","Wildomar, CA","$35k-$53k"
"Everlaw","4.6","Growth Marketing Manager","Oakland, CA",
"Big Leap","4.5","SEO & Content Marketing Manager","Lehi, UT","$35k-$52k"
"Agora.io","5.0","Product Marketing Manager","Santa Clara, CA",
"HARIBO of America","4.6","Trade Marketing Manager","Rosemont, IL",
"Arcules, Inc.","5.0","Product Marketing Manager","Irvine, CA",
"Apttus","3.0","Senior Product Marketing Manager","San Mateo, CA","$181k-$241k"
"Stifel Financial","3.6","ADVISORY PROGRAM MARKETING MANAGER","Saint Louis, MO","$49k-$75k"
"H.G. Fenton","4.9","Leasing Marketing Manager","San Diego, CA","$44k-$68k"
"Peer Health Exchange","4.5","Manager, Marketing","Chicago, IL","$36k-$57k"
"LightGuard Systems","5.0","Inside Sales and Marketing Assistant","Santa Rosa, CA","$50k-$60k"
"HAECO Americas","2.7","Marketing Manager","Greensboro, NC","$73k-$110k"
"Logi Analytics","3.4","Product Marketing Manager","McLean, VA","$93k-$131k"
"InEight","3.5","Marketing Automation Manager","Scottsdale, AZ",
"Genentech","3.9","Senior Marketing Manager (E5) - Avastin Marketing","South San Francisco, CA","$143k-$204k"
"MomentFeed","4.4","Marketing Manager","Santa Monica, CA","$60k-$92k"
"DrChrono","4.0","Digital Marketing Manager","Hunt Valley, MD",
"HealthcareSource","4.0","Senior Product Marketing Manager","Woburn, MA","$82k-$113k"
"Signpost","4.2","Marketing Manager","New York, NY","$37k-$57k"
"Forescout Technologies Inc.","3.9","Field Marketing Manager","United States",
"LendingHome","4.0","Field Marketing Manager","San Francisco, CA","$65k-$109k"
"Guide Dogs for the Blind","3.3","Digital Marketing Program Manager","San Rafael, CA","$44k-$72k"
"ClinCapture, Inc.","4.0","Digital Marketing Manager (Growth Hacker)","San Francisco, CA",
"GSK","3.8","Senior Manager, Marketing Planning Oncology","Philadelphia, PA",
"Townsquare Interactive","3.7","Digital Marketing Account Manager","Charlotte, NC",
"pc/nametag","4.1","Senior Manager, Digital Marketing","Verona, WI",
"City Furniture","4.2","Marketing Analytics Manager","Tamarac, FL","$72k-$101k"
"Procore Technologies","4.2","Product Marketing Manager","Carpinteria, CA","$55k-$78k"
"Princeton Property Management","3.9","Community Manager","Portland, OR","$29k-$45k"
"Keen Sight, Inc.",,"Surgical Sales Account Manager - Ophthalmology","San Francisco, CA","$60k-$80k"
"Experian","3.6","Product Marketing Manager","Costa Mesa, CA","$95k-$132k"
"Marquee Insurance Group","4.2","Marketing Coordinator","Roswell, GA",
"HomeServe USA","3.6","Insight & Marketing Analytics Manager","Norwalk, CT","$61k-$84k"
"FingerPaint Marketing","4.3","Digital Marketing Manager","Conshohocken, PA","$42k-$68k"
"Monarch Investment and Management Group","4.1","Property Manager - Apartment Community","Sioux City, IA","$32k-$51k"
"Del Rey Marketing","3.0","Digital Account Manager","Santa Ana, CA",
"Granular","4.3","Marketing Coordinator","San Francisco, CA","$44k-$64k"
"Life.Church","5.0","Director of Marketing & Communications","Edmond, OK","$35k-$65k"
"Citrix","3.8","Product Manager","Fort Lauderdale, FL","$65k-$98k"
"GSK","3.8","Global Marketing Director, Oncology Diagnostics","Collegeville, PA","$107k-$163k"
"Welk Resort Group","3.4","Marketing Manager - AMS","Denver, CO","$33k-$51k"
"LifeBridge Health","3.1","Digital Marketing Specialist","Owings Mills, MD","$47k-$74k"
"Activate","4.0","Engagement Manager","New York, NY",
"Priority Payment Systems","3.9","Sr. Director, Sr. Product Manager","Alpharetta, GA","$107k-$152k"
"Harbor Freight Tools","3.2","Email Marketing Coordinator","Calabasas, CA","$35k-$52k"
"Johnsonville Sausage","4.6","Director of Marketing","Sheboygan Falls, WI","$78k-$118k"
"Qapital","4.2","Senior Manager, Performance Marketing","New York, NY",
"Impact","4.2","Marketing Events Manager","New York, NY","$41k-$62k"
"Grand Rounds","4.6","Senior Product Marketing Manager - Customer Acquisition","San Francisco, CA","$134k-$180k"
"TSYS","3.2","Associate Account Manager","Columbus, GA",
"MBI","3.4","Product Manager","Norwalk, CT","$73k-$111k"
"Orbit Medical","4.0","Medical Sales Account Manager","Aurora, IL",
"Starcity","5.0","Property Manager / Sr. Community Director","San Francisco, CA",
"Shipt","3.6","Senior Marketing Analyst","Birmingham, AL","$57k-$82k"
"Morris Group, Inc.","4.2","Marketing Coordinator","Windsor, CT","$38k-$54k"
"MicroStrategy Incorporated","3.4","Product Marketing Director, Cloud","Tysons, VA",
"Fort Dearborn Company","2.6","Account Manager","Elk Grove Village, IL",
"Clements Worldwide","3.2","Digital Marketing Manager - Demand Generation","Washington, DC","$68k-$109k"
"Novartis","3.8","Global Marketing Campaigns/Multi-channel Associate Director","East Hanover, NJ","$69k-$122k"
"Lands' End","3.3","Senior Search Marketing Manager - Remote","Dodgeville, WI","$77k-$112k"
"Stockwell AI","5.0","Growth Marketing Manager - Oakland","Oakland, CA",
"Decron Properties","4.1","Residential Community Manager","Bothell, WA","$45k-$67k"
"Veolia Environmental Services","3.4","Account Manager","Saint Louis, MO",
"Clarus Commerce","4.1","Marketing Coordinator","Rocky Hill, CT","$32k-$49k"
"Vultr Holdings, LLC.","4.0","Social Media Manager","West Palm Beach, FL",
"Waterford Institute","3.6","Social Media Manager","Taylorsville, UT","$32k-$58k"
"Cintas","3.5","Account Manager","Chicago, IL",
"Big Leap","4.5","Digital Marketing Specialist","Lehi, UT","$36k-$56k"
"Niantic","4.4","Direct Marketing Manager","San Francisco, CA","$71k-$108k"
"Welocalize","3.4","Business Development Manager","New York, NY","$58k-$98k"
"Reward Gateway","4.2","Email Marketing Manager","Boston, MA",
"Sycuan Casino","3.3","VIP RELATIONS MANAGER-Loyalty","El Cajon, CA","$42k-$67k"
"Bright Horizons Family Solutions","3.1","Manager, Growth Marketing and Conversion Rate Optimization","Watertown, MA",
"Stratus Technologies","3.1","Partner Marketing Manager","Maynard, MA","$77k-$115k"
"Corcentric","3.6","Senior Product Manager, eSourcing","Willow Grove, PA","$84k-$126k"
"Jumpcut","5.0","Growth Marketing Manager","Los Angeles, CA","$150k-$200k"
"Basic American Foods","3.5","Group Marketing Manager, Foodservice","Walnut Creek, CA","$95k-$138k"
"Shipt","3.6","Email Marketing Manager","San Francisco, CA","$72k-$106k"
"Harbor Freight Tools","3.2","Digital Marketing Specialist","Calabasas, CA","$36k-$56k"
"One Door","3.8","Product Manager","Boston, MA","$87k-$129k"
"Audible","3.5","Senior Product Manager","Newark, NJ","$129k-$187k"
"Stratus Technologies","3.1","Global Marketing Campaign Manager","Maynard, MA","$49k-$82k"
"SAFCo","3.4","Relationship Manager - San Francisco, California","San Francisco, CA",
"Tanger Factory Outlet","3.7","Director of Marketing","Greensboro, NC","$65k-$109k"
"Glassdoor","4.1","B2B Marketing Manager","Mill Valley, CA",
"Legend Management Group","4.7","Property Manager","Millersville, MD","$41k-$68k"
"Sage","3.6","Online Marketing Manager","Atlanta, GA","$60k-$101k"
"Delta Defense LLC","4.8","Marketing Specialist, CLM","West Bend, WI","$30k-$39k"
"Encyclopædia Britannica","3.7","Product Manager","Chicago, IL","$104k-$152k"
"MG Properties Group","4.0","Floating Assistant Manager","Elk Grove, CA",
"NetSearch Digital Marketing","3.9","Digital Marketing Specialist","Richmond, VA","$40k-$60k"
"Trex Company","3.7","Digital Marketing Specialist","Winchester, VA","$35k-$55k"
"FreedomPay","3.7","CRM Digital Marketing Manager","Philadelphia, PA","$54k-$87k"
"Nu Image Medical",,"Digital Marketing Specialist","Tampa, FL",
"Instapage","4.9","Digital Marketing Manager - Paid Media","San Francisco, CA","$56k-$86k"
"Prodege, LLC","3.9","Paid Social Marketing Manager","El Segundo, CA","$50k-$76k"
"DoorDash","4.0","Engagement Manager, Enterprise","Detroit, MI","$81k-$122k"
"AppRiver","4.4","Product Manager","Gulf Breeze, FL",
"Cepheid","3.3","Global Service Marketing Manager","Sunnyvale, CA","$115k-$169k"
"PatientPop","3.9","Sr. Marketing Program Manager","Santa Monica, CA","$48k-$79k"
"CloserIQ","5.0","Account Manager","New York, NY",
"Sally Beauty Holdings","2.6","Manager of Field Marketing","Denton, TX","$40k-$67k"
"Loloi","4.0","Content Marketing Manager","Dallas, TX","$47k-$71k"
"H.G. Fenton","4.9","Leasing & Marketing Manager","San Diego, CA",
"Cardiovascular Institute of the South","3.7","Marketing Director","Houma, LA","$46k-$83k"
"Bigos Management, Inc.","3.7","Assistant Property Manager - Galante at Parkside","Apple Valley, MN","$42k-$67k"
"DataStax","4.3","Integrated Marketing Manager","Santa Clara, CA","$128k-$183k"
"Academies of Math and Science","3.5","Marketing Coordinator","Glendale, AZ",
"Bigos Management, Inc.","3.7","Assistant Property Manager - Minnehaha Manor/Regency Hill","Oakdale, MN","$42k-$67k"
"R2integrated","4.0","Digital Marketing Analyst","Baltimore, MD","$50k-$72k"
"Big Fish Games","3.0","Product Marketing Manager","Oakland, CA","$70k-$101k"
"Ascensus","2.6","Strategic Retirement Marketing Manager","Dresher, PA","$59k-$90k"
"Big Leap","4.5","Email and Marketing Automation Manager","Lehi, UT","$31k-$52k"
"PulsePoint","4.2","Senior Marketing and Communications Manager","New York, NY","$74k-$130k"
"Data Theorem","5.0","Product Marketing Manager","Palo Alto, CA",
"American Well","3.8","Senior Client Marketing Manager, Health Plans and Employer Engagement","Boston, MA","$74k-$119k"
"Raines Hospitality","5.0","Director of Sales and Marketing","Greenville, SC",
"Bel Brands USA","3.8","Senior Associate Brand Manager - Innovation","Chicago, IL","$125k-$179k"
"R2integrated","4.0","Manager, Paid Search","Baltimore, MD",
"Alliance Residential","4.1","Floating Business Manager","Las Vegas, NV","$37k-$59k"
"JBG Smith","3.6","Marketing Manager, Retail","Chevy Chase, MD","$54k-$83k"
"Continental Properties Company, Inc.","4.0","Community Manager","Colorado Springs, CO","$41k-$61k"
"Anchorage","5.0","Marketing Manager","San Francisco, CA",
"Greenwich Medical Spa",,"Digital Marketing Manager","Riverside, CT",
"Coface North America Insurance","2.5","Marketing Specialist","Princeton, NJ","$37k-$48k"
"Cox Automotive","3.5","Marketing Campaign Manager","Mission, KS","$45k-$79k"
"TechSmith Corporation","4.1","Digital Marketing Strategy Manager","Okemos, MI","$38k-$62k"
"DoorDash","4.0","Manager, Marketing Analytics","San Francisco, CA","$114k-$152k"
"Netafim Irrigation","4.1","Distributor Relationship Manager","Remote",
"Eclipse Marketing (MI)","4.0","Marketing Assistant","Dearborn, MI",
"C3.ai","4.9","Product Marketing Manager","Redwood City, CA","$125k-$173k"
"Software AG","4.0","Marketing Automation Manager - Marketo","Reston, VA",
"Genentech","3.9","Senior Marketing Manager (E5) Access Solutions Marketing","South San Francisco, CA","$143k-$204k"
"Prometheus Real Estate Group","4.5","Regional Retail Property Manager","Cupertino, CA","$120k-$140k"
"San Manuel Casino","3.4","Marketing Analytics Specialist","Highland, CA","$40k-$66k"
"Marchex","3.8","Senior Account Manager","New York, NY",
"Chobani","4.2","Marketing Analytics Manager","New York, NY","$87k-$120k"
"FingerPaint Marketing","4.3","Marketing Automation Manager","Conshohocken, PA",
"Dayton Freight","4.4","Account Manager","Wichita, KS",
"V Digital Services","2.9","Digital Marketing Manager","Phoenix, AZ","$39k-$64k"
"SK hynix America","3.5","DRAM Technical Marketing Manager","San Jose, CA","$114k-$165k"
"eSalon","3.5","Associate Manager, Acquisition Marketing","El Segundo, CA","$34k-$53k"
"LLamasoft","4.1","Product Manager","Ann Arbor, MI","$79k-$118k"
"MG Properties Group","4.0","Floating Community Manager","Sacramento, CA","$36k-$53k"
"Johnsonville Sausage","4.6","Business Manager","Sacramento, CA","$51k-$87k"
"Ruby Receptionists","3.1","Product & Channel Marketing Manager","Portland, OR","$69k-$103k"
